Noor Road	id=g:7043747
Nūrani Mohallah	id=g:7043748
Old City	id=g:7043749
Pakistan Air Force Officer’s Mess	id=g:7043750
Pakistan Railways Golf Course	id=g:7043751
Pakistan Railways High School	id=g:7043752
Pakistan Railways Quarters	id=g:7043753
Ziārat Panj Pīr	id=g:7043754
Patiāla House	id=g:7043755
Pirācha Park	id=g:7043756
Progiapur	id=g:7043757
PSIRC Regional Laboratories	id=g:7043758
Punjab Constabulary Lines	id=g:7043759
Punjab Flour Mills	id=g:7043760
Public Works Department Colony	id=g:7043761
Queen Mary College	id=g:7043762
Racecourse Road	id=g:7043763
Ramzānpur	id=g:7043764
Shāh Miskīn Road	id=g:7043765
Rehmat Colony	id=g:7043766
Saint Joseph High School	id=g:7043767
Saint Joseph School	id=g:7043768
