Herrnköpfl	id=g:6939281
Orgelspitze	id=g:6939282
Butzenspitze	id=g:6939283
Hahnleskopf	id=g:6939284
Wandfluh	id=g:6939291
Goppeskopf	id=g:6939292
Hüttenkopf	id=g:6939294
Hanauer Spitze	id=g:6939295
Geißkopf	id=g:6939298
Kuhspitz	id=g:6939300
Große Rappenspitze	id=g:6939301
Zwölferspitze	id=g:6939304
Rappenspitze	id=g:6939305
Madonnakopf	id=g:6939306
Igelkopf	id=g:6939307
Diesner Höhe	id=g:6939309
Peischelspitze	id=g:6939310
Juppenspitze	id=g:6939313
Roßlaufspitze	id=g:6939314
Gamsleitenspitze	id=g:6939315
Rappenköpfle	id=g:6939318
Kraxentrager	id=g:6939320
Melkspitz	id=g:6939321
Dünser Horn	id=g:6939322
Karspitze	id=g:6939324
Muttkopf	id=g:6939325
Falvkopf	id=g:6939326
Mont Calv	id=g:6939327
Kreuzspitz	id=g:6939328
Baukogel	id=g:6939329
Höllenspitze	id=g:6939331
Faltegartenköpfl	id=g:6939332
Breitkopf	id=g:6939333
Roßalm	id=g:6939335
Sladinkopf	id=g:6939336
Sonnenkogel	id=g:6939339
Moarköpfl	id=g:6939340
Hochberg	id=g:6939343
Grenzspitz	id=g:6939347
Isskogel	id=g:6939348
Mutabellspitze	id=g:6939349
Gehrenspitz	id=g:6939350
Brunnkarspitze	id=g:6939352
Rauher Kopf = Flaurling	id=g:6939353
Auenfelder Horn	id=g:6939354
Fragnerberg	id=g:6939358
Zwölferspitze	id=g:6939359
Warther Horn	id=g:6939360
Öfelerjoch	id=g:6939361
Wannenkopf	id=g:6939362
Pleiskopf	id=g:6939364
Katzenkopf	id=g:6939365
Spazeck	id=g:6939367
Saloberkopf	id=g:6939370
Wimbachkopf	id=g:6939371
Blasenka	id=g:6939372
Türtschhorn	id=g:6939373
Ennskraxen	id=g:6939374
Kunkelspitze	id=g:6939380
Eiblkogel	id=g:6939381
Glattjöchlespitze	id=g:6939382
Pfrondhorn	id=g:6939383
Rifflerkogel	id=g:6939385
Benzegg	id=g:6939386
Seekareck	id=g:6939387
Giglturm	id=g:6939390
Hundskogel	id=g:6939392
Hornfeldspitze	id=g:6939394
Müllachgeier	id=g:6939395
Ronachgeier	id=g:6939396
Wasserkluppe	id=g:6939398
Gehmer Berg	id=g:6939400
Kilkaschrofen	id=g:6939401
Schwarzkopf	id=g:6939402
Wilder Kasten	id=g:6939403
Wildes Gräshorn	id=g:6939406
Schöneberg	id=g:6939407
Hahnenkopf	id=g:6939409
Falben	id=g:6939410
