Hotel & Restaurant Crowne Plaza Zurich	id=g:7290042
Drei Könige, Hostettler Hugo	id=g:7290044
Edelweiss	id=g:7290046
Europa St. Moritz, Bützberger Armin	id=g:7290047
Holiday Inn Express Geneva Airport	id=g:7290049
Express by Holiday Inn Luzern	id=g:7290050
Buchs ZH-Petermoos	id=g:7290071
Fairmont Le Montreux Palace	id=g:7290072
Regina Grand Hotel	id=g:7290073
Heidihof	id=g:7290074
Apart Hotel Operated by Hilton	id=g:7290075
Innere Enge	id=g:7290076
Jailhotel Löwengraben	id=g:7290077
Schiffahrtsgesellschaft des Vierwaldstättersees (SGV)	id=g:7290078
Hotel Krone AG	id=g:7290079
Kulm Hotel	id=g:7290080
Leonardo Hotel Rigihof Zürich	id=g:7290089
Leysin Parc Hotel	id=g:7290090
Löwen, Imfeld Werner	id=g:7290123
Joel's, im Luzernerhof	id=g:7290124
A Capell'Art	id=g:7290125
Minotel Alfa	id=g:7290128
Alpenblick, Rest. Pannatier Pierre-André	id=g:7290129
Beau-Séjour, Grichting Gérald	id=g:7290131
Hotel Bernerhof Grindelwald	id=g:7290133
NH Rex	id=g:7290187
Novotel City Center	id=g:7290188
Park Hotel du Sauvage,	id=g:7290189
Mattenhof Ressort	id=g:7290190
Posthotel	id=g:7290191
Post Hotel Weggis	id=g:7290192
Postillon	id=g:7290193
Quality Hotel Geneva City Centre	id=g:7290194
Ramada Hotel, Regina Titlis‎	id=g:7290195
Regina, Besitzer Meyer Guido und  Ariane	id=g:7290196
Régina	id=g:7290197
Rigi AG	id=g:7290199
Stern	id=g:7290200
Rotary	id=g:7290201
Saaserhof	id=g:7290203
Hotel Schweizerhof St.Moritz	id=g:7290204
Schweizerhof	id=g:7290205
Seiler Hotel Schweizerhof	id=g:7290206
Sonne,	id=g:7290208
Ador, Sorell Hotel	id=g:7290209
Hôtel Suisse SA	id=g:7290212
Hotel Sunstar Wengen	id=g:7290213
Swiss Diamond Hotel Olivella	id=g:7290214
Swiss Q Alpenroyal	id=g:7290216
Swiss Q Ambassador	id=g:7290217
Belvedere Swiss Quality Hotel	id=g:7290218
Swiss Q Esplanade	id=g:7290219
Swiss Q Grichting Badnerhof	id=g:7290221
Hotel Lugano Dante Center	id=g:7290223
Swiss Q Schoenegg Grandhotel	id=g:7290226
Unique Dom	id=g:7290240
Villa Sassa Hotel Lugano & SPA	id=g:7290242
Hotel Weisses Kreuz AG	id=g:7290244
Mercure Classic Hotel	id=g:7290246
Hôtel des Horlogers	id=g:7290247
Hotel Hotel Elite	id=g:7290248
Hotel Europe	id=g:7290249
Les Sciernes-d'albeuve	id=g:7290292
Schloss Heidegg	id=g:7302236
Sulz	id=g:7302237
Müswangen	id=g:7302240
Kleinwangeen	id=g:7302244
Baldegg	id=g:7302246
Mosen	id=g:7302248
Retschwil	id=g:7302249
Baldeggersee	id=g:7302250
Horben	id=g:7302251
Oberurnen	id=g:7302536
Linth-escher	id=g:7302537
Fruthwilen	id=g:7302682
Saint Saphorin	id=g:7303237
Rheinhafen Kleinhüningen	id=g:7303377
Rheinhafen Birsfelden	id=g:7303378
Tinguely Museum	id=g:7303390
Wettsteinquartier	id=g:7303391
Wintersingen	id=g:7303564
Hochgang	id=g:7303571
Seebüel	id=g:7303572
Parsennfurggahorn	id=g:7303573
Fäutscher	id=g:7303574
NTB Buchs SG	id=g:7303715
Gir	id=g:7303717
Guscha	id=g:7303718
Guschaspitz	id=g:7303719
Ijesfürggli	id=g:7303722
Tannkopf	id=g:7303729
Schnielskopf	id=g:7303738
Regitzerspitz	id=g:7303743
Bannriet-Spitzmäder	id=g:7303744
Zuckerhut	id=g:7303746
Gross Furgga	id=g:7303752
Rothorn	id=g:7303770
Wetlicher Totalpkopf	id=g:7303772
Gamsluggen	id=g:7303773
Finegg	id=g:7303774
Hinterrugg	id=g:7303820
Wildhuser Schafberg	id=g:7303822
Bäretswil - Baumastrasse	id=g:7303830
Voralpsee	id=g:7303832
Schlösslichopf	id=g:7303839
Gampernei - Bützen	id=g:7303840
Buchser Malbun	id=g:7303841
Alp Malschüel	id=g:7303843
Alp Arin	id=g:7303845
Alp Arlans	id=g:7303846
Palfris	id=g:7303849
