T’anggwi	id=g:6803255
Sŏm-mal	id=g:6803256
Changgaeul	id=g:6803257
Songch’ŏl-li	id=g:6803258
Soraebi	id=g:6803259
Sansint’ŏ	id=g:6803260
Changjat’ŏ	id=g:6803261
Kalminae	id=g:6803262
Pŏl-mal	id=g:6803263
Ya-ch’on	id=g:6803264
Un-mal	id=g:6803265
Hak-kogae	id=g:6803266
P’altangsaejae-gogae	id=g:6803267
Panga-dari	id=g:6803268
Oe-ch’on	id=g:6803269
Chogok	id=g:6803270
Chocho-bong	id=g:6803271
Saejae-gogae	id=g:6803272
Kwangmyŏng	id=g:6803273
Naech’i	id=g:6803274
Saeujŏk-kogae	id=g:6803275
Mŏkch’i-gogae	id=g:6803276
Samhwa	id=g:6803277
Chung-ch’on	id=g:6803278
Kusŏn	id=g:6803279
Sin’gye-sa	id=g:6803280
Ch’asal-li	id=g:6803281
Paegi	id=g:6803282
Surinŏmŏ-gogae	id=g:6803283
Tŏgam-sa	id=g:6803284
Wŏnt’ŏ	id=g:6803285
Saen-mal	id=g:6803286
Mun’gok	id=g:6803287
Irŭnemi	id=g:6803288
Myojŏk	id=g:6803289
Komjigi	id=g:6803290
Surinŏmŏ	id=g:6803291
Kung-mal	id=g:6803292
Sŏngsaeng-nongjang	id=g:6803293
Sang-ch’on	id=g:6803294
Nokch’ol-li	id=g:6803295
Sŏmi	id=g:6803296
Chindae	id=g:6803297
Kama-bong	id=g:6803298
Myŏngdŏk	id=g:6803299
Sang-ch’on	id=g:6803300
Wangsŏng-suyanggwan	id=g:6803301
Chŏngbae-hyŏn	id=g:6803302
Chŏngbae-ri	id=g:6803303
Ka-bong	id=g:6803304
Yŏngnak-kyo	id=g:6803305
Songnŭng-gyo	id=g:6803306
Ŭnsŏng-gyo	id=g:6803307
Togok-kyo	id=g:6803308
Mullyong-gyo	id=g:6803309
Myŏngdŏk-kyo	id=g:6803310
Tongjŏm-gyo	id=g:6803311
Sŏhu-gyo	id=g:6803312
Ch’ŏngp’yŏngi-gyo	id=g:6803313
Kamagŏri-gyo	id=g:6803314
Ojoch’on-gyo	id=g:6803315
Chojung-gyo	id=g:6803316
Taesŏngil-gyo	id=g:6803317
Sosŏk-kyo	id=g:6803318
Wŏndae-gyo	id=g:6803319
Taesŏng-gyo	id=g:6803320
Naeguun-gyo	id=g:6803321
Hoegok-kyo	id=g:6803322
Sambak-kyo	id=g:6803323
Ch’ŏnma-dari	id=g:6803324
Simsŏk-kyo	id=g:6803325
Changgogae	id=g:6803326
Sindae	id=g:6803327
Hagok	id=g:6803328
Kyo-ch’on	id=g:6803329
Tŏkkusil	id=g:6803330
An-gol	id=g:6803331
Tŏkpawi	id=g:6803332
Obin	id=g:6803333
Hap’yŏng	id=g:6803334
Chungp’yŏng	id=g:6803335
Tŏkp’ung-dong	id=g:6803336
Sinp’yŏng-ni	id=g:6803337
Tŏugae	id=g:6803338
Pakkatch’angmoru	id=g:6803339
Anch’angmoru	id=g:6803340
Chakpattŭl	id=g:6803341
Ch’angu-dong	id=g:6803342
San-gol	id=g:6803343
