Cagle Island	id=g:4379502
Cahall Lake Dam	id=g:4379503
Cahoochie Airport	id=g:4379504
Cahoochie Creek	id=g:4379505
Cadet Creek School (historical)	id=g:4379506
Cains Creek	id=g:4379507
Cairns	id=g:4379508
Cairns	id=g:4379509
Cairns	id=g:4379510
Cairns	id=g:4379511
Cairo	id=g:4379512
Township of Cairo	id=g:4379513
Cal Acres Airport	id=g:4379514
Calcina (historical)	id=g:4379515
Caldwell Branch	id=g:4379516
Cainby (historical)	id=g:4379517
Caldwell Cemetery	id=g:4379518
Caldwell Church (historical)	id=g:4379519
Caldwell County	id=g:4379520
Caldwell Creek	id=g:4379521
Caldwell Creek	id=g:4379522
Caldwell Cemetery	id=g:4379523
Caldwell Lake Section 6 Dam	id=g:4379524
Caldwell Lake Section 7 Dam	id=g:4379525
Caldwell Spring	id=g:4379526
Township of Caldwell	id=g:4379527
Caledonia	id=g:4379528
Caledonia Cemetery	id=g:4379529
Caledonia Hills	id=g:4379530
Caledonia School (historical)	id=g:4379531
Calf Lot Hollow	id=g:4379532
Caldwell Franklin County Museum	id=g:4379533
Calhoun	id=g:4379534
Calhoun Cemetery	id=g:4379535
Calhoun Cemetery (historical)	id=g:4379536
Calhoun Hollow	id=g:4379537
Calfpen School	id=g:4379538
Calhoun School	id=g:4379539
Calico Branch	id=g:4379540
Calhoun Landing Strip	id=g:4379541
Calico Creek	id=g:4379542
Calico School	id=g:4379543
California Branch	id=g:4379544
California	id=g:4379545
Caliph Pearl Bend	id=g:4379546
Lac Calista	id=g:4379547
Call	id=g:4379548
Call Cemetery	id=g:4379549
Callahan Cemetery	id=g:4379550
Callahan Creek	id=g:4379551
Caligoa	id=g:4379552
Callahan Creek Watershed Dam A-4	id=g:4379553
Callahan Creek Watershed Dam A-6	id=g:4379554
Callahan Creek Watershed Dam C-1	id=g:4379555
Callahan Creek Watershed Dam C-2	id=g:4379556
Callahan Hollow	id=g:4379557
Callahan Creek Watershed Dam A-1	id=g:4379558
Callahan Hollow	id=g:4379559
Callahan School (historical)	id=g:4379560
Township of Callao	id=g:4379561
Callaway	id=g:4379562
Township of Callaway (historical)	id=g:4379563
Callaway Bluff	id=g:4379564
Callaway Branch	id=g:4379565
Callao	id=g:4379566
Callaway County	id=g:4379567
Callaway Fork	id=g:4379568
Callaway Cemetery	id=g:4379569
Callaway Memorial Gardens	id=g:4379570
Hatton-McCredie Elementary School	id=g:4379571
Williamsburg Elementary School	id=g:4379572
Callaway Riley Spring	id=g:4379573
Calleaway	id=g:4379574
Callen School (historical)	id=g:4379575
Callison Bluff	id=g:4379576
Calloway Ford (historical)	id=g:4379577
Calloway School (historical)	id=g:4379578
Calls Hollow	id=g:4379579
Calm	id=g:4379580
Calton Cemetery	id=g:4379581
Calton Creek	id=g:4379582
Calumet	id=g:4379583
Calumet Creek	id=g:4379584
Callaway Lake Dam	id=g:4379585
Township of Calumet	id=g:4379586
Calvary Baptist Church	id=g:4379587
Calvary Cemetery	id=g:4379588
Calvary Cemetery	id=g:4379589
Calvary Cemetery	id=g:4379590
Calvary Cemetery	id=g:4379591
Calvary Cemetery	id=g:4379592
Calvary Cemetery	id=g:4379593
Calvary Cemetery	id=g:4379594
Calvary Cemetery	id=g:4379595
Calvary Church	id=g:4379596
Calvary Church	id=g:4379597
Calvary Church	id=g:4379598
Calvary Church	id=g:4379599
Calvary Church	id=g:4379600
Calvary Church	id=g:4379601
Calvary Church	id=g:4379602
Calvary Church	id=g:4379603
Calvary Church	id=g:4379604
Calvary Church	id=g:4379605
Calvary Church	id=g:4379606
Calvary Lutheran School	id=g:4379607
Calvary Temple	id=g:4379608
Calvert Cemetery	id=g:4379609
Calvert School	id=g:4379610
Calverton Park	id=g:4379611
Calvey (historical)	id=g:4379612
Calvey Creek	id=g:4379613
Calumet School	id=g:4379614
Township of Calvey	id=g:4379615
