General Samuel Curtis Statue	id=g:4858201
General Services Building	id=g:4858202
General Store Museum	id=g:4858203
Geneseo Cemetery	id=g:4858204
Geneseo Church	id=g:4858205
Geneseo Church	id=g:4858206
Geneseo Post Office (historical)	id=g:4858207
Township of Geneseo	id=g:4858208
Township of Geneseo	id=g:4858209
Genesis Diabetes Care Center	id=g:4858210
Genesis Medical Center	id=g:4858211
Genesis Medical Center	id=g:4858212
Genesis Medical Center	id=g:4858213
Genesis Senior Living Center	id=g:4858214
Genetics Lab	id=g:4858215
Geneva	id=g:4858216
Geneva	id=g:4858217
Geneva	id=g:4858218
Geneva Ackley School	id=g:4858219
Geneva Campus Ministry	id=g:4858220
Geneva Country Club	id=g:4858221
Geneva Elevator	id=g:4858222
Geneva Island	id=g:4858223
Geneva Post Office	id=g:4858224
Geneva Post Office (historical)	id=g:4858225
Geneva School	id=g:4858226
Geneva United Methodist Church	id=g:4858227
Township of Geneva	id=g:4858228
Genoa	id=g:4858229
Genoa Bluff	id=g:4858230
Genoa Bluff Post Office (historical)	id=g:4858231
Genoa Bluffs Cemetery	id=g:4858232
Genoa Cemetery	id=g:4858233
Genoa Post Office (historical)	id=g:4858234
Gentle Care Chiropractic Clinic	id=g:4858235
Gentle Student Center	id=g:4858236
Geode Lake	id=g:4858237
Geode State Park	id=g:4858238
George	id=g:4858239
George (historical)	id=g:4858240
George Beebe Park	id=g:4858241
George Cemetery	id=g:4858242
George Community Good Samaritan Hospital	id=g:4858243
George Daily Community Auditorium	id=g:4858244
George Elder Woods	id=g:4858245
George Elementary School	id=g:4858246
George Elevator Company Elevator	id=g:4858247
George Fire Department	id=g:4858248
George L Scott Municipal Airport	id=g:4858249
George M Allee Gymnasium	id=g:4858250
George M Verity Riverboat Museum	id=g:4858251
George O Morris Park	id=g:4858252
George Perkins Historical Marker	id=g:4858253
George Post Office	id=g:4858254
George Public Library	id=g:4858255
George Washington Carver Memorial Park	id=g:4858256
George Washington Memorial Forest Historical Marker	id=g:4858257
George Washington Tree Historical Marker	id=g:4858258
George Wyth House and Viking Pump Museum	id=g:4858259
George Wyth Lake	id=g:4858260
George Wyth Memorial State Park	id=g:4858261
Lake George	id=g:4858262
Georgetown	id=g:4858263
Georgetown (historical)	id=g:4858264
Georgetown Cemetery	id=g:4858265
Georgetown Post Office (historical)	id=g:4858266
Georgetown Rest Area	id=g:4858267
Georgia L Hanford MacNider Park	id=g:4858268
Gerard Hall	id=g:4858269
Gerbigs Woods	id=g:4858270
Gere Creek	id=g:4858271
Garretville	id=g:4858272
Gerled	id=g:4858273
Gerled	id=g:4858274
Gerled Post Office (historical)	id=g:4858275
German Catholic Cemetery	id=g:4858276
German Cemetery	id=g:4858277
German City Cemetery	id=g:4858278
German City Church	id=g:4858279
German City Post Office (historical)	id=g:4858280
German Creek	id=g:4858281
Gerholdt Cemetery	id=g:4858282
German Hollow	id=g:4858283
German Lutheran Cemetery	id=g:4858284
German Lutheran Cemetery	id=g:4858285
German Lutheran Cemetery	id=g:4858286
German Methodist Cemetery	id=g:4858287
German Methodist Cemetery	id=g:4858288
German Methodist Cemetery	id=g:4858289
German Methodist Episcopal Cemetery	id=g:4858290
German Post Office (historical)	id=g:4858291
German Society Methodist Cemetery	id=g:4858292
German Township Cemetery	id=g:4858293
German Township Cemetery	id=g:4858294
German Township Cemetery	id=g:4858295
German Valley	id=g:4858296
German Valley Post Office (historical)	id=g:4858297
Township of German	id=g:4858298
Township of German	id=g:4858299
Germantown	id=g:4858300
Germantown Post Office (historical)	id=g:4858301
Germanville	id=g:4858302
Germanville Catholic Cemetery	id=g:4858303
Germanville Post Office (historical)	id=g:4858304
Gessford	id=g:4858305
Gethman Cemetery	id=g:4858306
Gethsemane Cemetery	id=g:4858307
Gethsemane Chapel	id=g:4858308
Gethsemane Church	id=g:4858309
Gethsemane Presbyterian Church	id=g:4858310
Gethsemane lutheran Church	id=g:4858311
Gethsemans Cemetery	id=g:4858312
Gettinger School	id=g:4858313
Ghost Hollow	id=g:4858314
Giard	id=g:4858315
Giard Cemetery	id=g:4858316
Giard Post Office (historical)	id=g:4858317
Giard Station (historical)	id=g:4858318
Giard Townhall	id=g:4858319
Giard Tract State Historical Marker	id=g:4858320
Giard United Methodist Church	id=g:4858321
Township of Giard	id=g:4858322
Gibbsville	id=g:4858323
Gibraltar Post Office (historical)	id=g:4858324
Gibson	id=g:4858325
Gibson (historical)	id=g:4858326
Gibson Bend	id=g:4858327
Gibson Cemetery	id=g:4858328
Gibson Elevator	id=g:4858329
Gibson First Presbyterian Church	id=g:4858330
Gibson Park	id=g:4858331
Gibson Post Office	id=g:4858332
Gibson Recreation Area	id=g:4858333
Gideon Ford Home Site Historical Marker	id=g:4858334
Giffin Fields	id=g:4858335
Gifford	id=g:4858336
Gifford	id=g:4858337
Gifford Cemetery	id=g:4858338
Gifford Post Office (historical)	id=g:4858339
Gifford United Methodist Church	id=g:4858340
Gift of Life Ministries	id=g:4858341
Gilbert	id=g:4858342
Gilbert	id=g:4858343
Gilbert Cemetery	id=g:4858344
Gilbert Cemetery	id=g:4858345
Gilbert Cemetery	id=g:4858346
Gilbert City Hall	id=g:4858347
Gilbert Elementary School	id=g:4858348
Gilbert Evangelical Free Church	id=g:4858349
Gilbert Grain Elevator	id=g:4858350
Gilbert James Wildlife Area	id=g:4858351
Gilbert Junior-Senior High School	id=g:4858352
Gilbert Lutheran Church	id=g:4858353
Gilbert Park	id=g:4858354
Gilbert Post Office	id=g:4858355
Gilbert Post Office (historical)	id=g:4858356
Gilbertson Conservation Education Area	id=g:4858357
Gilbertville	id=g:4858358
Gilbertville Volunteer Fire Department	id=g:4858359
Gilbertville Police Department	id=g:4858360
Gilbertville Post Office	id=g:4858361
Gilbertville Town Hall	id=g:4858362
Gilchrist Hall	id=g:4858363
Gilead	id=g:4858364
Gilead Post Office (historical)	id=g:4858365
Giles Junction	id=g:4858366
Gilfillan Memorial Clinic	id=g:4858367
Gillespie Post Office (historical)	id=g:4858368
Gillett Grove	id=g:4858369
Gillett Grove (historical)	id=g:4858370
Gillett Grove City Hall	id=g:4858371
Gillett Grove Post Office	id=g:4858372
Gillett Grove United Methodist Church	id=g:4858373
Township of Gillett Grove	id=g:4858374
Gillette Park	id=g:4858375
Gilleys Beach	id=g:4858376
Gilliatt	id=g:4858377
Gilliatt	id=g:4858378
Gilliece Bridge	id=g:4858379
Gillilan Cemetery	id=g:4858380
Gilman	id=g:4858381
Gilman (historical)	id=g:4858382
Gilman Cemetery	id=g:4858383
Gilman Community Church	id=g:4858384
Gilman Hall	id=g:4858385
Gilman Park	id=g:4858386
Gilman Post Office	id=g:4858387
Gilman Public Library	id=g:4858388
Gilman Town Hall	id=g:4858389
Gilman United Methodist Church	id=g:4858390
Gilman Waterworks	id=g:4858391
Township of Gilman	id=g:4858392
Gilmore Cemetery	id=g:4858393
Gilmore City	id=g:4858394
Gilmore City	id=g:4858395
Gilmore City - Bradgate School	id=g:4858396
Gilmore City City Hall	id=g:4858397
Gilmore City Fire Department	id=g:4858398
Gilmore City Library	id=g:4858399
Gilmore City Police Department	id=g:4858400
Gilmore City Post Office	id=g:4858401
Gilmore Hall	id=g:4858402
Gilpin Post Office (historical)	id=g:4858403
Gilroy Rustic Park	id=g:4858404
Gilt Edge	id=g:4858405
Giltedge Post Office (historical)	id=g:4858406
Gimmel Lake	id=g:4858407
Ginger Creek	id=g:4858408
German Evangelical Lutheran Emanuel Cemetery	id=g:4858409
Gingerich Cemetery	id=g:4858410
Gingles Hollow	id=g:4858411
Gingerich Cemetery	id=g:4858412
Gitchie Manitou State Preserve	id=g:4858413
Given Creek	id=g:4858414
Gingles Point	id=g:4858415
Givens Point	id=g:4858416
Givin	id=g:4858417
Gizzard Creek	id=g:4858418
Given Station	id=g:4858419
Glad Tidings Assembly of God Church	id=g:4858420
Glad Tidings Assembly of God Church	id=g:4858421
Glad Tidings Church	id=g:4858422
Gladbrook (historical)	id=g:4858423
Gladbrook Church of God	id=g:4858424
Gladbrook City Hall	id=g:4858425
Gladbrook Co-op Company Elevator	id=g:4858426
Gladbrook Elementary School	id=g:4858427
Gladbrook Family Health Center	id=g:4858428
Gladbrook Middle School	id=g:4858429
Gladbrook Post Office	id=g:4858430
Gladbrook Public Library	id=g:4858431
Gladbrook-Reinbeck High School	id=g:4858432
Glade	id=g:4858433
Glade (historical)	id=g:4858434
Glade Post Office (historical)	id=g:4858435
Gladfelter Marsh Wildlife Management Area	id=g:4858436
Gladstone	id=g:4858437
Gladstone (historical)	id=g:4858438
Gladstone Post Office (historical)	id=g:4858439
Gladwin	id=g:4858440
Gladwin (historical)	id=g:4858441
Gladwin Post Office (historical)	id=g:4858442
Glahn Cemetery	id=g:4858443
Glasgou Church	id=g:4858444
Glasgow	id=g:4858445
Glasgow (historical)	id=g:4858446
Glasgow (historical)	id=g:4858447
Glasgow Cemetery	id=g:4858448
Glasgow Cemetery	id=g:4858449
Glasgow Post Office (historical)	id=g:4858450
Glassburner Cemetery	id=g:4858451
Glassnevin Post Office (historical)	id=g:4858452
