Torrance (historical)	id=g:4280528
Torry (historical)	id=g:4280529
Toulon	id=g:4280530
Towanda	id=g:4280531
Towanda Elementary School	id=g:4280532
Towanda Service Area	id=g:4280533
Township of Towanda	id=g:4280534
Township of Towanda	id=g:4280535
Tower Plaza	id=g:4280536
Towerspring (historical)	id=g:4280537
Towhead Creek	id=g:4280538
Topeka	id=g:4280539
Town Creek	id=g:4280540
Towhead School	id=g:4280541
Town and Country Christian Church	id=g:4280542
Town and Country Christian Church	id=g:4280543
Towne East Square	id=g:4280544
Towne West Square	id=g:4280545
Townsend School (historical)	id=g:4280546
Township Cemetery	id=g:4280547
Township Cemetery	id=g:4280548
Township Cemetery	id=g:4280549
Township Cemetery	id=g:4280550
Township Cemetery	id=g:4280551
Township Cemetery	id=g:4280552
Township Cemetery	id=g:4280553
Township Cemetery	id=g:4280554
Township Cemetery	id=g:4280555
Township High School	id=g:4280556
Township 1	id=g:4280557
Township 1	id=g:4280558
Township 1	id=g:4280559
Township 10	id=g:4280560
Township 10	id=g:4280561
Township 11	id=g:4280562
Township 11	id=g:4280563
Township 12	id=g:4280564
Township 12	id=g:4280565
Township 2	id=g:4280566
Township 2	id=g:4280567
Township 2	id=g:4280568
Township 3	id=g:4280569
Township 3	id=g:4280570
Township 3	id=g:4280571
Township 4	id=g:4280572
Township 4	id=g:4280573
Township 4	id=g:4280574
Township 5	id=g:4280575
Township 5	id=g:4280576
Township 5	id=g:4280577
Township 6	id=g:4280578
Township 6	id=g:4280579
Township 6	id=g:4280580
Township 6	id=g:4280581
Township 7	id=g:4280582
Township 7	id=g:4280583
Township 7	id=g:4280584
Township 8	id=g:4280585
Township 8	id=g:4280586
Township 8	id=g:4280587
Township 9	id=g:4280588
Township 9	id=g:4280589
Township 9	id=g:4280590
Trabue Airport	id=g:4280591
Tracy Landing Field	id=g:4280592
Trading Post	id=g:4280593
Trading Post Cemetery	id=g:4280594
Trail Creek	id=g:4280595
Town West Baptist Church	id=g:4280596
Trail West Shopping Center	id=g:4280597
Trailridge Middle School	id=g:4280598
Trailridge Shopping Center	id=g:4280599
Trailwood Elementary School	id=g:4280600
Trailwood Shopping Center	id=g:4280601
Trap Creek	id=g:4280602
Trail Creek Cemetery	id=g:4280603
Pratt Optimist Soccer Park	id=g:4280604
Treckell Oil Field	id=g:4280605
Treece	id=g:4280606
Trego Center	id=g:4280607
Trego Community High School	id=g:4280608
Trego County	id=g:4280609
Trego Creek	id=g:4280610
Trapp School	id=g:4280611
Trent	id=g:4280612
Trenton	id=g:4280613
Trenton (historical)	id=g:4280614
Trenton School (historical)	id=g:4280615
Trenton School (historical)	id=g:4280616
Township of Trenton	id=g:4280617
Tresham	id=g:4280618
Tri-City Airport	id=g:4280619
Triangle Airport	id=g:4280620
Trimmell Cemetery	id=g:4280621
Trinity Assembly of God Church	id=g:4280622
Trinity Baptist Church	id=g:4280623
Trinity Baptist Church	id=g:4280624
Trinity Cemetery	id=g:4280625
Trinity Chapel Foursquare Church	id=g:4280626
Trinity Church	id=g:4280627
Trinity Church	id=g:4280628
Trinity Church	id=g:4280629
Trinity Church	id=g:4280630
Trinity Church of the Nazarene	id=g:4280631
Trinity Episcopal Church	id=g:4280632
Trinity Lutheran Church	id=g:4280633
Trinity Lutheran Church	id=g:4280634
Trinity Lutheran Church	id=g:4280635
Trinity Lutheran Church	id=g:4280636
Trinity Lutheran Church	id=g:4280637
Trinity Lutheran School	id=g:4280638
Trinity Lutheran School	id=g:4280639
Trinity Presbyterian Church	id=g:4280640
Trinity Lutheran Elementary School	id=g:4280641
Trinity Temple Church of God in Christ	id=g:4280642
Trinity United Methodist Church	id=g:4280643
Tripp School	id=g:4280644
Tripp School (historical)	id=g:4280645
Triumph Church	id=g:4280646
Triumph School (historical)	id=g:4280647
Trivoli (historical)	id=g:4280648
Township of Trivoli	id=g:4280649
Troemper Cemetery	id=g:4280650
Trotter Cemetery	id=g:4280651
Troublesome (historical)	id=g:4280652
Troublesome Creek	id=g:4280653
Trego Wakeeney Airport	id=g:4280654
Troublesome Creek	id=g:4280655
Troublesome Creek	id=g:4280656
Troublesome Creek	id=g:4280657
Trousdale	id=g:4280658
Trout	id=g:4280659
