Long Lake	id=g:6059190
Long Lake	id=g:6059191
Long Lake	id=g:6059192
Long Lake	id=g:6059193
Long Lake	id=g:6059194
Long Lake	id=g:6059195
Long Lake	id=g:6059196
Long Lake	id=g:6059197
Long Lake	id=g:6059198
Long Lake	id=g:6059199
Long Lake	id=g:6059200
Long Lake	id=g:6059201
Long Lake	id=g:6059202
Long Lake	id=g:6059203
Long Lake	id=g:6059204
Long Lake	id=g:6059205
Long Lake	id=g:6059206
Long Lake	id=g:6059207
Long Lake	id=g:6059208
Long Lake	id=g:6059209
Long Lake	id=g:6059210
Long Lake	id=g:6059211
Long Lake	id=g:6059212
Long Lake	id=g:6059213
Long Lake	id=g:6059214
Long Lake	id=g:6059215
Long Lake	id=g:6059216
Long Lake	id=g:6059217
Long Lake	id=g:6059218
Long Lake	id=g:6059219
Long Lake	id=g:6059220
Long Lake	id=g:6059221
Long Lake	id=g:6059222
Long Lake	id=g:6059223
Long Lake	id=g:6059224
Long Lake	id=g:6059225
Long Lake	id=g:6059226
Long Lake	id=g:6059227
Long Lake	id=g:6059228
Long Lake	id=g:6059229
Long Lake	id=g:6059230
Long Lake	id=g:6059231
Long Lake	id=g:6059232
Long Lake	id=g:6059233
Long Lake	id=g:6059234
Long Lake	id=g:6059235
Long Lake	id=g:6059236
