Calvary Chapel	id=g:5459938
Calvary Chapel	id=g:5459939
Calvary Chapel	id=g:5459940
Calvary Chapel of Albuquerque	id=g:5459941
Calvary Chapel of Las Cruces	id=g:5459942
Calvary Christian Center	id=g:5459943
Calvary Christian School	id=g:5459944
Calvary Lutheran Church-LCMS	id=g:5459945
Calvary Southern Baptist Church	id=g:5459946
Calvary Southern Baptist Church	id=g:5459947
Calvary Temple Assembly of God Church	id=g:5459948
Calverdes Spring	id=g:5459949
Calvert Cemetery	id=g:5459950
Calverts	id=g:5459951
Calvin Tank	id=g:5459952
Calvin Veneno Water Well	id=g:5459953
Calvoria Cemetery	id=g:5459954
Camack Well	id=g:5459955
Cañada Camada	id=g:5459956
Calvary Assembly of God Church	id=g:5459957
Camaleon	id=g:5459958
Camaleon Draw	id=g:5459959
Camaleche Tanks	id=g:5459960
Cambray Post Office (historical)	id=g:5459961
Cambray Weather Station	id=g:5459962
Cambray Windmill	id=g:5459963
Camco Ranch Airport	id=g:5459964
Camel Hump Dam	id=g:5459965
Camel Mountain	id=g:5459966
Camel Rock	id=g:5459967
Camel Rock 1 Water Well	id=g:5459968
Camelhead Tank	id=g:5459969
Camels Hump Ridge	id=g:5459970
Cameo	id=g:5459971
Cameo Elementary School	id=g:5459972
Cameron Creek	id=g:5459973
Camaleon Hill	id=g:5459974
Cameron Tank	id=g:5459975
Cameron Weather Station	id=g:5459976
Camilo Saiz Tank	id=g:5459977
Camino Real District Ranger Office	id=g:5459978
Camino Real Forest Service Station	id=g:5459979
El Camino Spring	id=g:5459980
Camino Tank	id=g:5459981
Camino del Monte Sol Historic District	id=g:5459982
Cañada Camino	id=g:5459983
Cameron Creek Basin	id=g:5459984
Cañada del Camino	id=g:5459985
Cañon de Camino	id=g:5459986
Cañon de Camino	id=g:5459987
Mesa del Camino	id=g:5459988
Cammak Camp	id=g:5459989
Camote Tank	id=g:5459990
Camp Campbell	id=g:5459991
Camp Canyon	id=g:5459992
Cammack	id=g:5459993
Camp Canyon	id=g:5459994
Camp Capitan	id=g:5459995
Camp Creek	id=g:5459996
Camp Cody (historical)	id=g:5459997
Camp Creek Tank	id=g:5459998
Camp Davis	id=g:5459999
Camp Draw	id=g:5460000
Camp Creek Saddle	id=g:5460001
Camp Frank Rand Boy Scout Camp	id=g:5460002
Camp Furlong Historic Site	id=g:5460003
Camp Geronimo	id=g:5460004
Camp La Salle	id=g:5460005
Camp Long Campground	id=g:5460006
Camp Mary White	id=g:5460007
Camp Maximiliano Luna	id=g:5460008
Camp Maximiliano Luna Historical Marker	id=g:5460009
Camp May Recreation Site	id=g:5460010
Camp Monakiwa Girls Camp	id=g:5460011
Camp Robber Ski Trail	id=g:5460012
Camp Seven Canyon	id=g:5460013
Camp Ercan	id=g:5460014
Camp Sierra Blanca	id=g:5460015
Camp Sierra Blanca Library	id=g:5460016
Camp Stony	id=g:5460017
Camp Summer Life	id=g:5460018
Camp Tall Pines	id=g:5460019
Camp Thunderbird	id=g:5460020
Camp Thunderbird Campground	id=g:5460021
Camp Two	id=g:5460022
Camp Two Canyon	id=g:5460023
Camp Shaver	id=g:5460024
