12762 Water Well	id=g:5453112
12763 Water Well	id=g:5453113
12765 Water Well	id=g:5453114
12768 Water Well	id=g:5453115
12769 Water Well	id=g:5453116
12770 Water Well	id=g:5453117
12777 Water Well	id=g:5453118
12779 Water Well	id=g:5453119
12780 Water Well	id=g:5453120
12781 Water Well	id=g:5453121
12782 Water Well	id=g:5453122
12782 Water Well	id=g:5453123
12783 Water Well	id=g:5453124
12783 Water Well	id=g:5453125
12788 Water Well	id=g:5453126
12790 Water Well	id=g:5453127
12791 Water Well	id=g:5453128
12791 Water Well	id=g:5453129
12792 Water Well	id=g:5453130
12792 Water Well	id=g:5453131
12793 Water Well	id=g:5453132
12794 Water Well	id=g:5453133
12795 Water Well	id=g:5453134
12796 Water Well	id=g:5453135
12797 Water Well	id=g:5453136
12797 Water Well	id=g:5453137
12798 Water Well	id=g:5453138
12799 Water Well	id=g:5453139
12800 Water Well	id=g:5453140
12801 Water Well	id=g:5453141
12801 Water Well	id=g:5453142
12802 Water Well	id=g:5453143
12803 Water Well	id=g:5453144
12804 Water Well	id=g:5453145
12805 Water Well	id=g:5453146
12806 Water Well	id=g:5453147
12806 Water Well	id=g:5453148
12807 Water Well	id=g:5453149
12807 Water Well	id=g:5453150
12808 Water Well	id=g:5453151
12809 Water Well	id=g:5453152
12809 Water Well	id=g:5453153
12810 Water Well	id=g:5453154
12827 Water Well	id=g:5453155
12828 Water Well	id=g:5453156
12829 Water Well	id=g:5453157
1283 Water Well	id=g:5453158
12830 Water Well	id=g:5453159
12831 Water Well	id=g:5453160
12832 Water Well	id=g:5453161
12833 Water Well	id=g:5453162
12835 Water Well	id=g:5453163
12836 Water Well	id=g:5453164
12837 Water Well	id=g:5453165
12838 Water Well	id=g:5453166
12839 Water Well	id=g:5453167
12841 Water Well	id=g:5453168
12842 Water Well	id=g:5453169
12843 Water Well	id=g:5453170
12846 Water Well	id=g:5453171
12847 Water Well	id=g:5453172
12848 Water Well	id=g:5453173
12850 Water Well	id=g:5453174
12851 Water Well	id=g:5453175
12852 Water Well	id=g:5453176
12853 Water Well	id=g:5453177
12854 Water Well	id=g:5453178
12857 Water Well	id=g:5453179
12858 Water Well	id=g:5453180
12859 Water Well	id=g:5453181
12860 Water Well	id=g:5453182
12862 Water Well	id=g:5453183
12863 Water Well	id=g:5453184
12864 Water Well	id=g:5453185
12865 Water Well	id=g:5453186
12865 Water Well	id=g:5453187
12866 Water Well	id=g:5453188
12866 Water Well	id=g:5453189
12867 Water Well	id=g:5453190
12867 Water Well	id=g:5453191
12868 Water Well	id=g:5453192
12869 Water Well	id=g:5453193
12870 Water Well	id=g:5453194
12871 Water Well	id=g:5453195
12872 Water Well	id=g:5453196
12873 Water Well	id=g:5453197
12874 Water Well	id=g:5453198
12875 Water Well	id=g:5453199
12876 Water Well	id=g:5453200
12877 Water Well	id=g:5453201
12878 Water Well	id=g:5453202
12879 Water Well	id=g:5453203
12881 Water Well	id=g:5453204
12885 Water Well	id=g:5453205
12886 Water Well	id=g:5453206
12887 Water Well	id=g:5453207
12893 Water Well	id=g:5453208
12894 Water Well	id=g:5453209
12895 Water Well	id=g:5453210
12896 Water Well	id=g:5453211
12897 Water Well	id=g:5453212
12898 Water Well	id=g:5453213
12899 Water Well	id=g:5453214
12900 Water Well	id=g:5453215
12901 Water Well	id=g:5453216
12902 Water Well	id=g:5453217
12903 Water Well	id=g:5453218
12904 Water Well	id=g:5453219
12905 Water Well	id=g:5453220
12906 Water Well	id=g:5453221
12907 Water Well	id=g:5453222
12908 Water Well	id=g:5453223
12909 Water Well	id=g:5453224
12930 Water Well	id=g:5453225
12932 Water Well	id=g:5453226
12950 Water Well	id=g:5453227
12951 Water Well	id=g:5453228
12952 Water Well	id=g:5453229
12953 Water Well	id=g:5453230
12954 Water Well	id=g:5453231
12955 Water Well	id=g:5453232
12956 Water Well	id=g:5453233
12957 Water Well	id=g:5453234
12958 Water Well	id=g:5453235
12959 Water Well	id=g:5453236
12961 Water Well	id=g:5453237
12962 Water Well	id=g:5453238
12965 Water Well	id=g:5453239
12969 Water Well	id=g:5453240
12970 Water Well	id=g:5453241
12971 Water Well	id=g:5453242
12972 Water Well	id=g:5453243
12973 Water Well	id=g:5453244
12974 Water Well	id=g:5453245
12975 Water Well	id=g:5453246
12976 Water Well	id=g:5453247
12977 Water Well	id=g:5453248
12978 Water Well	id=g:5453249
12979 Water Well	id=g:5453250
12980 Water Well	id=g:5453251
12981 Water Well	id=g:5453252
12982 Water Well	id=g:5453253
12983 Water Well	id=g:5453254
12984 Water Well	id=g:5453255
12985 Water Well	id=g:5453256
12986 Water Well	id=g:5453257
12986 Water Well	id=g:5453258
12987 Water Well	id=g:5453259
12998 Water Well	id=g:5453260
12A-6 Spring	id=g:5453261
12K-300A Water Well	id=g:5453262
12K-309 Water Well	id=g:5453263
12K-312 Water Well	id=g:5453264
12K-317 Water Well	id=g:5453265
12K-320 Water Well	id=g:5453266
12K-335 Water Well	id=g:5453267
12K-9 Water Well	id=g:5453268
12M-1 Spring	id=g:5453269
12M-27 Water Well	id=g:5453270
12P-355 Water Well	id=g:5453271
12R-100 Water Well	id=g:5453272
12R-126B Water Well	id=g:5453273
12R-148 Water Well	id=g:5453274
12R-160 Spring	id=g:5453275
12R-161 Owl Spring	id=g:5453276
12R-162 Spring	id=g:5453277
12R-195 Spring	id=g:5453278
12R-242 Water Well	id=g:5453279
12R-57	id=g:5453280
12R-91 Water Well	id=g:5453281
12T-121 Water Well	id=g:5453282
12T-323 Water Well	id=g:5453283
12T-325 Water Well	id=g:5453284
12T-329 Water Well	id=g:5453285
12T-338 Water Well	id=g:5453286
12T-339 Water Well	id=g:5453287
12T-340 Water Well	id=g:5453288
12T-343 Water Well	id=g:5453289
12T-351 Water Well	id=g:5453290
12T-354 Water Well	id=g:5453291
12T-505 Water Well	id=g:5453292
12T-507 Water5 Well	id=g:5453293
12T-508 Water Well	id=g:5453294
12T-511 Water Well	id=g:5453295
12T-512 Water Well	id=g:5453296
12T-516 Water Well	id=g:5453297
12T-517 Water Well	id=g:5453298
12T-519 Water Well	id=g:5453299
12T-520 Water Well	id=g:5453300
12T-525 Water Well	id=g:5453301
12T-534A Water Well	id=g:5453302
12T-538 Water Well	id=g:5453303
12T-548 Water Well	id=g:5453304
12T-551 Water Well	id=g:5453305
12T-564 Water Well	id=g:5453306
12T-564 Water Well	id=g:5453307
12T-565 Water Well	id=g:5453308
12T-570 Water Well	id=g:5453309
12T-576 Water Well	id=g:5453310
12T-580 Water Well	id=g:5453311
12T-587 Water Well	id=g:5453312
12T-590 Water Well	id=g:5453313
12T-601 Water Well	id=g:5453314
12T-607 Water Well	id=g:5453315
12T-618A Water Well	id=g:5453316
12T-628 Water Well	id=g:5453317
