Kliwon	id=g:6774733
Bendung Keplang	id=g:6774734
Jatirenggang Lor	id=g:6774735
Jatirenggang Tengah	id=g:6774736
Jatirenggang Kidul	id=g:6774737
Karangwangun	id=g:6774738
Dusun Dua	id=g:6774739
Dusun Satu	id=g:6774740
Pabuaran Lor	id=g:6774741
Cikulak	id=g:6774742
Pabuaran Kidul	id=g:6774743
Dusun Satu	id=g:6774744
Dusun Dua	id=g:6774745
Dusun Empat	id=g:6774746
Dusun Tiga	id=g:6774747
Dusun Dua	id=g:6774748
Dusun Empat	id=g:6774749
Dusun Tiga	id=g:6774750
Dusun Dua	id=g:6774751
Sukadana	id=g:6774752
Dusun Satu	id=g:6774753
Pembangunan	id=g:6774754
Waled Kota	id=g:6774755
Wage	id=g:6774756
Sangkanurip	id=g:6774757
Dayakarya	id=g:6774758
Siliwangi	id=g:6774759
Bojongsari	id=g:6774760
Cigobangwangi	id=g:6774761
Sumurbandung	id=g:6774762
Karamatmulya	id=g:6774763
Sumursari	id=g:6774764
Sumurdalam	id=g:6774765
Karangtunggal	id=g:6774766
Pasir Karangbangan	id=g:6774767
Pasir Jati	id=g:6774768
Pasir Leuwiliang	id=g:6774769
Pasir Liung	id=g:6774770
Pasir Batutumpang	id=g:6774771
Pasir Picung	id=g:6774772
Pasir Batunenggang	id=g:6774773
Sumber Lor	id=g:6774774
Kudumulya	id=g:6774775
Sumber Kidul	id=g:6774776
Dusun Tiga	id=g:6774777
Dusun Dua	id=g:6774778
Dusun Satu	id=g:6774779
Dusun Tiga	id=g:6774780
Dusun Dua	id=g:6774781
Dusun Satu	id=g:6774782
Dusun Dua	id=g:6774783
Dusun Satu	id=g:6774784
Puhun	id=g:6774785
Hulubanteng Lor	id=g:6774786
Pahing	id=g:6774787
Manis	id=g:6774788
Kliwon	id=g:6774789
Pabuaran Wetan	id=g:6774790
Wage	id=g:6774791
Kliwon	id=g:6774792
Damarguna	id=g:6774793
Wage	id=g:6774794
Pahing	id=g:6774795
Tenjomaya	id=g:6774796
Puhun	id=g:6774797
Wage	id=g:6774798
Puhun	id=g:6774799
Jatiseeng	id=g:6774800
Manis	id=g:6774801
Manis	id=g:6774802
Wage	id=g:6774803
Manis	id=g:6774804
Pahing	id=g:6774805
Perumahan Umum Bumisiliwangipermai	id=g:6774806
Kliwon Satu	id=g:6774807
Jatiseeng Kidul	id=g:6774808
Kliwon Dua	id=g:6774809
Puhun	id=g:6774810
Pahing	id=g:6774811
Salakarya	id=g:6774812
Pembangunan	id=g:6774813
Kliwon	id=g:6774814
Manis	id=g:6774815
Pompa	id=g:6774816
Pasaleman	id=g:6774817
Kali Leubaksakir	id=g:6774818
Ci Leuwiliang	id=g:6774819
Pasir Dangdeurtilu	id=g:6774820
Pasir Kawiden	id=g:6774821
Pasir Batuampang	id=g:6774822
Pasir Banteng	id=g:6774823
Pasir Baturantung	id=g:6774824
Ci Hoe Kecil	id=g:6774825
Ciledug Tengah	id=g:6774826
Manis	id=g:6774827
Pahing	id=g:6774828
Ciledug Kulon	id=g:6774829
Kliwon	id=g:6774830
Ampera	id=g:6774831
