Hotel Sedes	id=g:6946998
Seminaris Campus Berlin Hotel	id=g:6946999
Hotel Stadt Freiburg	id=g:6947005
Strandlust Vegesack	id=g:6947007
Tagungs-Sport Park Euroville	id=g:6947009
The Westin Grand Frankfurt	id=g:6947011
Thome	id=g:6947012
TOP CCL Hotel Essener Hof	id=g:6947014
Traube	id=g:6947017
Tulip Inn Bad Nenndorf	id=g:6947018
Tulip Inn Bad Oeynhausen	id=g:6947019
Tulip Inn Berlin Frankfurter Tor	id=g:6947020
Tulip Inn Bottrop	id=g:6947021
Tulip Inn Braunschweig	id=g:6947022
Tulip Inn Hannover Messe	id=g:6947023
Tulip Inn Leipzig	id=g:6947024
Tulip Inn Neckarsulm	id=g:6947025
Hotel-Union	id=g:6947026
Vivaldi Hotel Leipzig	id=g:6947027
Hotel Waldschlösschen	id=g:6947028
Welcome Hotel Paderborn	id=g:6947029
Munich Hotel Kurpfalz	id=g:6947032
Winters Hotel Berlin Gendarmenmarkt	id=g:6947034
Bahnhof Kulkwitz-Seebenisch	id=g:6947042
Ginkgo-Apotheke Markranstädt	id=g:6947043
Kulkwitzer See	id=g:6947044
Rats-Apotheke Markranstädt	id=g:6947045
Ärztehaus	id=g:6947047
Marien-Apotheke	id=g:6947048
Busbahnhof	id=g:6947049
St.-Laurentius-Kirche	id=g:6947050
Tiefgarage "Altes Ratsgut"	id=g:6947051
Diemühle	id=g:6947057
Bahnhof Markranstädt	id=g:6947066
Kulkwitzer Lachen	id=g:6947067
Bahnhof Düsseldorf-Rath Mitte	id=g:6947265
Bahnhof Düsseldorf-Unterrath	id=g:6947267
Stadtbezirk 01	id=g:6947268
Stadtbezirk 02	id=g:6947270
Stadtbezirk 03	id=g:6947271
Stadtbezirk 04	id=g:6947272
Stadtbezirk 04	id=g:6947274
Stadtbezirk 05	id=g:6947275
Stadtbezirk 06	id=g:6947276
Stadtbezirk 07	id=g:6947277
Stadtbezirk 08	id=g:6947278
Stadtbezirk 09	id=g:6947279
Stadtbezirk 10	id=g:6947280
Aquazoo – Löbbecke Museum	id=g:6947285
Botanischer Garten Düsseldorf	id=g:6947286
Botanischer Garten Düsseldorf	id=g:6947287
Botanischer Garten Düsseldorf	id=g:6947288
Marionetten-Theater	id=g:6947289
Düsseldorfer Schauspielhaus	id=g:6947290
Düsseldorfer Schloss	id=g:6947291
Filmmuseum Düsseldorf	id=g:6947292
Forum Freies Theater	id=g:6947293
Graf-Adolf-Platz	id=g:6947294
Heinrich-Heine-Allee	id=g:6947295
Heinrich-Heine-Universität	id=g:6947296
Heinrich-Heine-Universität	id=g:6947297
Hetjens-Museum	id=g:6947298
Hofgarten	id=g:6947299
Hofgärtnerhaus	id=g:6947300
Kom(m)ödchen	id=g:6947301
Kunst im Tunnel	id=g:6947302
Kunsthalle Düsseldorf	id=g:6947311
Kunstsammlung Nordrhein-Westfalen	id=g:6947313
Königsallee	id=g:6947315
Mahn- und Gedenkstätte Düsseldorf	id=g:6947316
Marktplatz Düsseldorf	id=g:6947317
museum kunst palast	id=g:6947318
Rathaus Düsseldorf	id=g:6947320
Ratinger Tor	id=g:6947321
Rheinkniebrücke	id=g:6947322
Schloss Benrath	id=g:6947324
Schloss Jägerhof	id=g:6947325
Schloss Kalkum	id=g:6947326
Schloss Mickeln	id=g:6947327
St. Lambertus	id=g:6947329
St. Suitbertus	id=g:6947330
Bahnhof Düsseldorf-Hamm	id=g:6947331
Ständehaus	id=g:6947333
Tonhalle Düsseldorf	id=g:6947334
Zoologischer Garten	id=g:6947335
