Hermaville	id=g:3013432
Hermanville-sur-Mer	id=g:3013433
Hermanville	id=g:3013434
Hermance	id=g:3013436
Herm	id=g:3013437
Herly	id=g:3013438
Herly	id=g:3013439
Herlin-le-Sec	id=g:3013440
Herlincourt	id=g:3013441
Herlies	id=g:3013442
Herleville	id=g:3013443
Forêt d'Hérival	id=g:3013444
Hérisson	id=g:3013445
Hérissart	id=g:3013446
Hérin	id=g:3013447
Hérimoncourt	id=g:3013448
Hérimetz	id=g:3013449
Hériménil	id=g:3013450
Hérigny	id=g:3013451
Héricy	id=g:3013452
Héricourt-sur-Thérain	id=g:3013453
Héricourt-en-Caux	id=g:3013454
Héricourt	id=g:3013455
Héricourt	id=g:3013456
Héric	id=g:3013457
Hergugney	id=g:3013458
Hergnies	id=g:3013459
Hergies	id=g:3013460
Hères	id=g:3013461
Hérépian	id=g:3013462
Hérenguerville	id=g:3013463
Bois de la Hérelle	id=g:3013464
Héreat	id=g:3013465
Héré	id=g:3013466
Ruisseau Herdain	id=g:3013467
Herculat	id=g:3013468
Herchies	id=g:3013469
Hercé	id=g:3013470
Montagne d'Herc	id=g:3013471
Forêt de l'Herbue	id=g:3013472
Herbsheim	id=g:3013473
Herbouvilliers	id=g:3013474
Herbouville	id=g:3013475
Herbon	id=g:3013476
Herblay	id=g:3013477
Herbitzheim	id=g:3013478
Herbisse	id=g:3013479
Herbinghen	id=g:3013480
Herbigny	id=g:3013481
Herbigny	id=g:3013482
Herbignies	id=g:3013483
Herbignac	id=g:3013484
Ruisseau des Herbières	id=g:3013485
Herbeys	id=g:3013486
Herbéviller	id=g:3013487
Herbeville	id=g:3013488
Herbeuville	id=g:3013489
Herbeuval	id=g:3013490
Pointe aux Herbes	id=g:3013491
Bois de l'Herbergement	id=g:3013492
Herbelles	id=g:3013493
Herbécourt	id=g:3013494
Herbauvilliers	id=g:3013495
Herbault	id=g:3013496
Pointe de l'Herbaudière	id=g:3013497
Herbasse	id=g:3013498
Hérauritz	id=g:3013499
Département de l'Hérault	id=g:3013500
Hérault	id=g:3013501
Hérange	id=g:3013502
Henvic	id=g:3013504
Hénu	id=g:3013505
Henruel	id=g:3013506
Henriville	id=g:3013507
