Seventh Day Adventist Church	id=g:5240938
Seventh Day Adventist Church	id=g:5240939
Seventh Day Adventist Church	id=g:5240940
Seventh Day Adventist Church Cemetery	id=g:5240941
Sewall Brook	id=g:5240942
Seventh Day Adventist Church	id=g:5240943
Seymour Brook	id=g:5240944
Seymour Lake	id=g:5240945
Seymour Lake Dam	id=g:5240946
Seymour River	id=g:5240947
Seymour Lake	id=g:5240948
Shad Island	id=g:5240949
Shadow Lake	id=g:5240950
Shadow Lake	id=g:5240951
Shadow Lake Dam	id=g:5240952
Shadow Pond	id=g:5240953
Shadowbrook Farm	id=g:5240954
Shady Acres Campground	id=g:5240955
Shady Rill	id=g:5240956
Shaftsburg State Park	id=g:5240957
Shaftsbury	id=g:5240958
Shaftsbury Center	id=g:5240959
Shaftsbury Center Cemetery	id=g:5240960
Shaftsbury Elementary School	id=g:5240961
Shaftsbury Historical Society Building	id=g:5240962
Shaftsbury Historical Society Museum	id=g:5240963
Shaftsbury Hollow	id=g:5240964
Seyon Ranch	id=g:5240965
Shaftsbury Municipal Forest	id=g:5240966
Shaftsbury State Park	id=g:5240967
Lake Shaftsbury	id=g:5240968
Town of Shaftsbury	id=g:5240969
Shagback Mountain	id=g:5240970
Shaker Mountain	id=g:5240971
Shalney Branch	id=g:5240972
Shaftsbury Hollow Cemetery	id=g:5240973
Sharon Broad Brook School	id=g:5240974
Sharon Congregational Church	id=g:5240975
Sharon Elementary School	id=g:5240976
Town of Sharon	id=g:5240977
Sharps Hill	id=g:5240978
Shatluck Brook	id=g:5240979
Sharon	id=g:5240980
Shatterack Mountain	id=g:5240981
Shattuck Hill	id=g:5240982
Shattuck Mountain	id=g:5240983
Shattuck-Ward Cemetery	id=g:5240984
Shaw Cemetery	id=g:5240985
Shaw Hill	id=g:5240986
Shaw Hill	id=g:5240987
Shaw Hill Brook	id=g:5240988
Shatterack Mountain	id=g:5240989
Shaw Mountain	id=g:5240990
Shaw Mountain	id=g:5240991
Shaw Mountain	id=g:5240992
Shawville	id=g:5240993
Shedd Cemetery	id=g:5240994
Shedd Hill	id=g:5240995
Sheddsville	id=g:5240996
