Kirimetiyana South	id=g:7437460
Bandirippuwa North	id=g:7437461
Haldanduwana West	id=g:7437462
Bandirippuwa East	id=g:7437463
Ihala Tabbowa	id=g:7437464
Pahala Bujjampola	id=g:7437465
Meda Haldanduwana	id=g:7437466
Pahala Mohottimulla	id=g:7437467
Haldanduwana South	id=g:7437468
Kotukenda West	id=g:7437469
Ihala Nattandiya	id=g:7437470
Weerahena West	id=g:7437471
Weerahena East	id=g:7437472
Mudukatuwa East	id=g:7437473
Meda Mawila	id=g:7437474
Ihala Mawila	id=g:7437475
Pahala Mawila	id=g:7437476
Nebadagahayaya	id=g:7437477
Thummodara West	id=g:7437478
Thummodara East	id=g:7437479
Nakele	id=g:7437480
Bulugahawewa	id=g:7437481
Meda Katuneriya	id=g:7437482
Meegahawewa	id=g:7437483
Udasirigama	id=g:7437484
Kolinjadiya North	id=g:7437485
Kolinjadiya East	id=g:7437486
Dhammikagama	id=g:7437487
Lunuwila West	id=g:7437488
Wennappuwa North	id=g:7437489
Meda Wennappuwa	id=g:7437490
Wennappuwa South	id=g:7437491
Wennappuwa West	id=g:7437492
Dummaladeniya North	id=g:7437493
Boralessa West	id=g:7437494
Boralessa North	id=g:7437495
Boralessa South	id=g:7437496
Meda Katukenda	id=g:7437497
Mudukatuwa North	id=g:7437498
Mudukatuwa South	id=g:7437499
Pahala Katuneriya North	id=g:7437500
Pahala Katuneriya Meda	id=g:7437501
Pahala Katuneriya South	id=g:7437502
Kolinjadiya West	id=g:7437503
Kolinjadiya South	id=g:7437504
Ulhitiyawa West	id=g:7437505
Ulhitiyawa South	id=g:7437506
Meda Ulhitiyawa	id=g:7437507
Kadawatha	id=g:7437508
Meda Dummaladeniya	id=g:7437509
Dummaladeniya South	id=g:7437510
Meda Nainamadama	id=g:7437511
Wellamankaraya	id=g:7437512
Kammalawa	id=g:7437513
Aluthtota	id=g:7437514
Sindrathiya	id=g:7437515
Waikkala North	id=g:7437516
Kammaltura	id=g:7437517
Hanathotupala	id=g:7437518
Mirissankotuwa North	id=g:7437519
Mirissankotuwa South	id=g:7437520
Meda Gonawila	id=g:7437521
Gonawila North	id=g:7437522
Ihala Dummalakotuwa	id=g:7437523
Etiyawala North	id=g:7437524
Dankotuwa North	id=g:7437525
Pahala Dummalakotuwa	id=g:7437526
Ihala Mohottimulla	id=g:7437527
Sandalankawa	id=g:7437528
Panawelakumbura	id=g:7437529
Thambakanda	id=g:7437530
Etiyawala South	id=g:7437532
Thamarakuliya	id=g:7437533
Dankotuwa East	id=g:7437534
Dankotuwa South	id=g:7437535
Gonawila South	id=g:7437536
Angampitiya East	id=g:7437537
Angampitiya West	id=g:7437538
Waikkala South	id=g:7437539
Topputota	id=g:7437540
Akaragama North	id=g:7437541
Lihiniyagammana	id=g:7437542
Sirigapatawatta Colony	id=g:7437543
Polhena	id=g:7437544
Diklanda	id=g:7437545
Kalumada	id=g:7437546
Delwarura	id=g:7437547
Kehelella West	id=g:7437548
Kehelella East	id=g:7437549
Hapugama	id=g:7437550
Palliyapitiya West	id=g:7437551
Kehelella South	id=g:7437552
Pinnakele	id=g:7437553
Pinnakele South	id=g:7437554
Kelapitimulla	id=g:7437555
Palliyapitiya East	id=g:7437556
Ihala Madampella East	id=g:7437557
Akaragama East	id=g:7437558
Akaragama West	id=g:7437559
Bolagama	id=g:7437560
Adimulla	id=g:7437561
Kongodamulla North	id=g:7437562
Ihala Madampella West	id=g:7437563
Kadawala North	id=g:7437564
Kadawala South	id=g:7437565
Halgahawelawatta	id=g:7437566
Kongodamulla East	id=g:7437567
Kongodamulla South	id=g:7437568
Kongodamulla West	id=g:7437569
Kaluwarippuwa North	id=g:7437570
