Vranjača	id=g:3238832
Krušljak	id=g:3238845
Slem	id=g:3238846
Gorička Reka	id=g:3238851
Adžići	id=g:3238858
Bobija	id=g:3238860
Tisiće	id=g:3238867
Barovače	id=g:3238879
Vrbica Koliba	id=g:3238882
Orlić	id=g:3238887
Korita	id=g:3238888
Dobra Voda	id=g:3238892
Rudna Reka	id=g:3238893
Simići	id=g:3238894
Kutanj	id=g:3238895
Tašići	id=g:3238896
Sred	id=g:3238897
Vazica	id=g:3238898
Sokolac	id=g:3238902
Šip	id=g:3238905
Šilja	id=g:3238913
Kalkan	id=g:3238914
Rečica	id=g:3238915
Senokos	id=g:3238918
Tadići	id=g:3238920
Kalkanska Reka	id=g:3238921
Lazanski Potok	id=g:3238927
Padine	id=g:3238931
Veliki Vis	id=g:3238932
Erići	id=g:3238940
Kik	id=g:3238941
Plačkovac	id=g:3238948
Kučevina	id=g:3238949
Glavica	id=g:3238950
Ðelebnica	id=g:3238951
Nikolići	id=g:3238962
Zoba	id=g:3238963
Kriva Reka	id=g:3238964
Šumec	id=g:3238965
Ravna Gora	id=g:3238966
Ravno Brdo	id=g:3238970
Polići	id=g:3238974
Cvijanovići	id=g:3238975
Jelav	id=g:3238977
Jarac	id=g:3238980
Ðokići	id=g:3238982
Karačica	id=g:3238983
Uzovnička Reka	id=g:3238984
Vasarići	id=g:3238989
Ramići	id=g:3238992
Perunika	id=g:3239012
Oglavci	id=g:3239013
Ajvatovina	id=g:3239014
Mitrina Mehanna	id=g:3239015
Mićići	id=g:3239016
Potočani	id=g:3239017
Kojići	id=g:3239021
Subotići	id=g:3239026
Sveti Jovan	id=g:3239031
Veliki Majdan	id=g:3239037
Oštrelj	id=g:3239039
Bodnjik	id=g:3239040
Krupinska Reka	id=g:3239042
Popovići	id=g:3239043
Panovići	id=g:3239044
Jesenište	id=g:3239052
Mejići	id=g:3239053
Ðurići	id=g:3239057
Zmejevac	id=g:3239065
Ðurići	id=g:3239070
Celovci	id=g:3239072
Mihajlovići	id=g:3239076
Živanovići	id=g:3239077
Ibrići	id=g:3239081
Dragisin Ostenjak	id=g:3239082
Postenjski Vis	id=g:3239084
Stranjsko Brdo	id=g:3239088
Ždrelo	id=g:3239090
Rakići	id=g:3239094
Kržavci	id=g:3239099
Panići	id=g:3239116
Pavlovići	id=g:3239117
Ilići	id=g:3239118
Rujevačka Reka	id=g:3239119
Podrid	id=g:3239120
Rid	id=g:3239121
Staro Selo	id=g:3239135
Vukova Reka	id=g:3239136
Mitrići	id=g:3239137
Smiljevac	id=g:3239138
Bukovik	id=g:3239140
Jezero	id=g:3239141
Jezero	id=g:3239144
Marinkov Kamen	id=g:3239145
Marinkovići	id=g:3239147
Galjići	id=g:3239155
Golubovac	id=g:3239156
Kržava	id=g:3239158
Katanovac	id=g:3239162
Bogoštica	id=g:3239170
Grujičića Mala	id=g:3239186
Dimitrijevići	id=g:3239190
Pleći Potok	id=g:3239192
Banjevac	id=g:3239194
Lukići	id=g:3239196
Stojkanići	id=g:3239198
Golubovac	id=g:3239203
Malo Groblje	id=g:3239220
Rankovići	id=g:3239221
Redžepovići	id=g:3239230
Divljakovići	id=g:3239233
Terzići	id=g:3239235
Čumurana	id=g:3239238
Veliko Kucište	id=g:3239249
Veliko Kućište	id=g:3239252
Razbojišta	id=g:3239257
Prisoje	id=g:3239274
Selični Do	id=g:3239277
Lidanov Konak	id=g:3239295
Velika Reka	id=g:3239296
Podgaj	id=g:3239334
Vujinovići	id=g:3239336
Lipnik	id=g:3239338
Riječica	id=g:3239339
Podlipnik	id=g:3239340
Manastir Sveti Dimitrije	id=g:3239341
Donja Vranjača	id=g:3239344
Gornja Vranjača	id=g:3239346
Savići	id=g:3239349
Vranić	id=g:3239354
Stović	id=g:3239355
Nadpolje	id=g:3239358
Majdani	id=g:3239359
Kolarička Reka	id=g:3239362
Opeci	id=g:3239368
Alina Glavica	id=g:3239373
Smajino Brdo	id=g:3239375
Grujići	id=g:3239377
Prosečen Kamen	id=g:3239382
Planina	id=g:3239529
Radičevići	id=g:3239617
Grujičići	id=g:3239625
Orašac	id=g:3239627
Živanovići	id=g:3239628
Ljubenkovac	id=g:3239632
Srednje	id=g:3239642
Martinovaća	id=g:3239644
Rečani	id=g:3239647
Mitrići	id=g:3239648
Sredojevići	id=g:3239650
Crkvine	id=g:3239652
Čadavica	id=g:3239655
Zmajevac	id=g:3239658
Šarena Bukva	id=g:3239668
Urlovačka Kosa	id=g:3239670
Urlovac	id=g:3239671
Gajići	id=g:3239673
Pantića Vis	id=g:3239676
Jovičići	id=g:3239681
Gornja Mala	id=g:3239682
Gornja Mala	id=g:3239683
Maleševići	id=g:3239684
Brezje	id=g:3239686
Markovići	id=g:3239687
Petrovići	id=g:3239688
Gošići	id=g:3239689
Zeljići	id=g:3239690
Cerovačka Glava	id=g:3239692
Tadići	id=g:3239693
Ðurići	id=g:3239694
Nenadovići	id=g:3239695
Matići	id=g:3239696
Despotovići	id=g:3239697
Mihajlovići	id=g:3239698
Grbići	id=g:3239699
Petkovići	id=g:3239701
Jelići	id=g:3239702
Vučetići	id=g:3239703
Stolice	id=g:3239708
Cipljanska Reka	id=g:3239711
Jeremići	id=g:3239712
Ljubičevo Brdo	id=g:3239713
Petrići	id=g:3239714
Orlujak	id=g:3239715
Jelići	id=g:3239716
Mičići	id=g:3239717
Lom	id=g:3239718
Beleg	id=g:3239719
Glavica	id=g:3239720
Radevci	id=g:3239722
Lisina	id=g:3239723
Bobija	id=g:3239724
Žižak	id=g:3239725
Jovanovići	id=g:3239726
Dugonjići	id=g:3239727
Blagojevići	id=g:3239728
Visoka Glavica	id=g:3239729
Vasići	id=g:3239730
Obradovići	id=g:3239732
Aranđelov Grob	id=g:3239733
Ðukići	id=g:3239735
Razbojište	id=g:3239736
Obradovići	id=g:3239737
Andrići	id=g:3239739
Glavica	id=g:3239740
Krasavica	id=g:3239742
Jevtići	id=g:3239746
Reljići	id=g:3239747
Buljevac	id=g:3239749
Gligorići	id=g:3239750
Pekmezovići	id=g:3239752
Prtolis	id=g:3239753
Popovići	id=g:3239754
Božića Mala	id=g:3239755
Vasilići	id=g:3239756
Mićanovići	id=g:3239758
Miškovac	id=g:3239759
Burmazi	id=g:3239761
Stankovo Brdo	id=g:3239762
Gornja Mala	id=g:3239763
Donja Mala	id=g:3239764
Markovići	id=g:3239765
Majdan	id=g:3239766
Kikanovići	id=g:3239767
Velika Gradina	id=g:3239768
Nikolići	id=g:3239770
Račevića Brdo	id=g:3239771
Visibaba	id=g:3239772
Glavica	id=g:3239773
Rudine	id=g:3239774
Pantići	id=g:3239775
Kurjakovac	id=g:3239777
Lipova Glavica	id=g:3239779
Radinkovača	id=g:3239780
Gornja Mala	id=g:3239781
Manastir Tronoša	id=g:3239783
Manastirska Šuma	id=g:3239786
Kik	id=g:3239787
Tanka Kosa	id=g:3239788
Mala Bobija	id=g:3239789
Teržići	id=g:3239791
Uzovnica	id=g:3239818
Mikuljak	id=g:3239819
Kršino Brdo	id=g:3239820
Stara Ljubovija	id=g:3239821
Ðerići	id=g:3239822
Vukolovci	id=g:3239823
Ðerica Brdo	id=g:3239824
Plavanja	id=g:3239831
Poljanska Kosa	id=g:3239833
Živkovići	id=g:3239861
Jelovac	id=g:3239862
Lukići	id=g:3239864
Jelovci	id=g:3239866
Latkovići	id=g:3239867
Simici	id=g:3239868
Delići	id=g:3239870
Ridovi	id=g:3239872
Grabovica	id=g:3239873
Sapari	id=g:3239874
Caparić	id=g:3239875
Vršić	id=g:3239876
Vršićki Kik	id=g:3239877
Valetići	id=g:3239879
Baurić Grad	id=g:3239880
Kamenjače	id=g:3239881
Bukovičko Polje	id=g:3239882
Kašica	id=g:3239883
Ade	id=g:3239884
Podnemić	id=g:3239885
Palašić	id=g:3239892
Duboko	id=g:3239893
Sokolovaće	id=g:3239894
Javor	id=g:3239895
Jankovo Brdo	id=g:3239896
Berlovine	id=g:3239897
Skrajnik	id=g:3239898
Popovača	id=g:3239899
Obarak	id=g:3239900
Dubrave	id=g:3239901
Skakavci	id=g:3239903
Mali Baurić	id=g:3239904
Milovanovica Vis	id=g:3239905
Jasikovać	id=g:3239906
Glavica	id=g:3239907
Gornja Bukovica	id=g:3239908
Brezovac	id=g:3239915
