Traverse Area District Library	id=g:7225005
Central High School	id=g:7225006
Great Lakes Children's Museum	id=g:7225007
West Senior High School	id=g:7225008
Traverse Bay Christian School	id=g:7225009
East Bay Branch Library	id=g:7225010
East Junior High School	id=g:7225011
Mapleton Medical Clinic	id=g:7225012
Kingsley Public Library	id=g:7225013
Cherrywood Village Mobile Home Park	id=g:7225014
Old Mission Congregational Church	id=g:7225015
Old Mission Post Office	id=g:7225016
Mayfield Post Office	id=g:7225017
Town and Country Mobile Village	id=g:7225018
Free Methodist Church	id=g:7225019
Kingsley Baptist Church	id=g:7225020
Kingsley United Methodist Church	id=g:7225021
Grand Traverse County Sheriff Department	id=g:7225022
Kingsley Post Office	id=g:7225023
Rodes Field	id=g:7225024
Kingsley High School	id=g:7225025
Mayfield Township Hall	id=g:7225026
Saint Mary's Hannah Catholic Church	id=g:7225027
Saint Mary's School	id=g:7225028
Kingsley Middle School	id=g:7225029
Meadow Hill Care Center	id=g:7225030
Interlochen Post Office	id=g:7225031
Interlochen Public Library	id=g:7225032
Interlochen Elementary School	id=g:7225033
Interlochen Academic Library	id=g:7225034
East Silver Lake Park	id=g:7225035
Silver Shores Mobile Home Park	id=g:7225036
Blair Park	id=g:7225037
Blair Township Fire Department	id=g:7225038
Grawn Post Office	id=g:7225039
Blair Township Hall	id=g:7225040
Your Health Family Medicine Clinic	id=g:7225041
Blair Elementary School	id=g:7225042
Wuerfel Park	id=g:7225043
Silver Lake View Mobile Home Park	id=g:7225044
Meadow Lane Mobile Home Park	id=g:7225045
Silver Lake Elementary School	id=g:7225046
Fife Lake Post Office	id=g:7225047
Fife Lake Elementary School	id=g:7225048
Fife Lake Medical Clinic	id=g:7225049
Fife Lake Area Historical Museum	id=g:7225050
Saint Aloysius Catholic Church	id=g:7225051
Fife Lake United Methodist Church	id=g:7225052
Fife Lake Baptist Church	id=g:7225053
Fife Lake Area Park	id=g:7225054
Fife Lake City Park	id=g:7225055
Sunrise Academy	id=g:7225056
Williamsburg United Methodist Church	id=g:7225057
Safe Harbor Baptist Church	id=g:7225058
Acme Post Office	id=g:7225059
Williamsburg Post Office	id=g:7225060
Bay Area Baptist Church	id=g:7225061
New Hope Community Church	id=g:7225062
Whitewater Township Hall	id=g:7225063
Mill Creek Elementary School	id=g:7225064
Feast of Victory Lutheran Church	id=g:7225065
Christ the King Catholic Church	id=g:7225066
City Opera House Historical Marker	id=g:7225067
Novotny's Saloon Historical Marker	id=g:7225068
Grand Traverse Bay Historical Marker	id=g:7225069
