Auvelais	id=g:2802902
Sambreville	id=g:2802903
Au Trou Sauvage	id=g:2802904
Bois d'Autrouge	id=g:2802905
Au Trie du Burnot	id=g:2802906
Autreppe	id=g:2802907
Autreppe	id=g:2802908
Honnelles	id=g:2802909
Autre-Église	id=g:2802910
Autre-Église	id=g:2802911
Au Thier	id=g:2802912
Autelhaut	id=g:2802913
Autelbas	id=g:2802914
Autelbas	id=g:2802915
Austruweelsen Dijk	id=g:2802916
Austruweel	id=g:2802917
Bois d'Ausse	id=g:2802918
Au Rolay	id=g:2802919
Aurodenberg	id=g:2802920
Aurheide	id=g:2802921
Au Pont	id=g:2802922
Au Pape	id=g:2802923
Bois des Aunes	id=g:2802924
Au Minire	id=g:2802925
Aulnoit	id=g:2802926
Aulnois Marlière	id=g:2802927
Ferme de l'Aulnois	id=g:2802928
Aulnois	id=g:2802929
L'Aulnois	id=g:2802930
Aulnois	id=g:2802931
Bois d'Aulniciau	id=g:2802932
Ruisseau des Aujes	id=g:2802933
Au Hestré	id=g:2802934
Augustine	id=g:2802935
Augustijnehoeve	id=g:2802936
Auguenne	id=g:2802937
Au Gros Chêné	id=g:2802938
Au Gris Han	id=g:2802939
Au Grand Étang	id=g:2802940
Bois des Auges	id=g:2802941
Auffe	id=g:2802942
Au Ferrage	id=g:2802943
Auf der Wolsch	id=g:2802944
Auf der Höhe	id=g:2802945
Auf der Hart	id=g:2802946
Auf dem Gericht	id=g:2802947
Auf Berg	id=g:2802948
Auf Beescht	id=g:2802949
Auel	id=g:2802950
Audrimont	id=g:2802951
Bois d'Audregnies	id=g:2802952
Audregnies	id=g:2802953
Audregnies	id=g:2802954
Aldringen	id=g:2802955
Ferme l'Auditeur	id=g:2802956
Audion	id=g:2802957
Au Dieu des Gardes	id=g:2802958
Au dessus des Bois	id=g:2802959
Oudergem	id=g:2802960
Oudergem	id=g:2802961
Audenarde	id=g:2802962
Audemez	id=g:2802963
Au delà de l'Eau	id=g:2802964
