Chak One Hundred Twelve-Twelve L	id=g:1387242
Chak One Hundred Ten-Twelve L	id=g:1387243
Thirteen L Disributary	id=g:1387244
One R Minor	id=g:1387245
Chak Ten-Thirteen L	id=g:1387246
Seven BR Distributary	id=g:1387247
Chak One Hundred Fourteen-Seven BR	id=g:1387248
Chak One Hundred Thirteen-Seven BR	id=g:1387249
Chak One Hundred Twelve-Seven BR	id=g:1387250
Ziārat Sheikh Tayyab	id=g:1387251
Kakhkhānwāli Road	id=g:1387252
Chak One Hundred Fifteen-Seven CR	id=g:1387253
Thatta Mazam	id=g:1387254
Amirbur	id=g:1387255
Akbar ke Kāthia	id=g:1387256
Thatta Ghulle	id=g:1387257
Buddhat Jhalār	id=g:1387258
Jhalār Ghāzi Sanpāl	id=g:1387259
Thatta Khān	id=g:1387260
Alluāna	id=g:1387261
Chak Seven Hundred Thirty-three GB	id=g:1387262
Narang	id=g:1387263
Chak Seven Hundred Thirty-two GB	id=g:1387264
Chak Seven Hundred Thirty-six GB	id=g:1387265
Chak Seven Hundred Thirty-eight GB	id=g:1387266
Chak Seven Hundred Thirty-five GB	id=g:1387267
Chāh Sābit Kharral	id=g:1387268
Āriwāla	id=g:1387269
Chak Seven Hundred Forty GB	id=g:1387270
Rauza Nādir Shāh	id=g:1387271
Ahmadābād	id=g:1387272
Chak Seven Hundred Twenty-five GB	id=g:1387273
Dhok Balochān	id=g:1387274
Chak Seven Hundred Twelve GB	id=g:1387275
Chak Seven Hundred Twenty-four GB	id=g:1387276
Dudiānwāla	id=g:1387277
Chak Seven-Eight	id=g:1387278
Lāl Isan	id=g:1387279
Chāh Mahbūbwāla	id=g:1387280
Chak Seven Hundred Fourteen GB	id=g:1387281
Chak Seven Hundred Thirteen GB	id=g:1387282
Chak Seven Hundred Ten GB	id=g:1387283
Thatta Baqālwāla	id=g:1387284
Thatta Dulma	id=g:1387285
Chak Seven Hundred Eight GB	id=g:1387286
Shahāmadwāla	id=g:1387287
Sultān Mahmūdwāla	id=g:1387288
Thatta Bahlol	id=g:1387289
Fatehpur	id=g:1387290
Chak Seven Hundred Five GB	id=g:1387291
Dipewāla	id=g:1387292
Chak Five Hundred Six	id=g:1387293
Dāra Shāh Husain	id=g:1387294
Johiya	id=g:1387295
Chak Seven Hundred Ten GB	id=g:1387296
Kot Jalāl	id=g:1387297
Jalioke	id=g:1387298
Ziārat Sheikh Burhān	id=g:1387299
Kot Prem Shatti	id=g:1387300
Azmat Shāh Distributary	id=g:1387301
Mal Fattiāna	id=g:1387302
Saho Iso	id=g:1387303
Nūrewāla	id=g:1387304
Saha Nurāna	id=g:1387305
Nasīr Kāthia	id=g:1387306
Burāla Ditch Channel	id=g:1387307
Dogrānwāla	id=g:1387308
Kot Bulāqi Chand Midha	id=g:1387309
Chak Seven Hundred Thirty-eight GB	id=g:1387310
Chak Seven Hundred Thirty-eight GB	id=g:1387311
Kalera Minor	id=g:1387312
Chak Seven Hundred Thirty-seven GB	id=g:1387313
Charnāla	id=g:1387314
Chak Tārar	id=g:1387315
Gāhne ke Kāthia	id=g:1387316
Khānwāla Tibba	id=g:1387317
Faridwāli Jhalār	id=g:1387318
Thatta Sabāne	id=g:1387319
Thatta Saiyidān	id=g:1387320
Thatta Sarwar	id=g:1387321
Hayāt ke Kāthia	id=g:1387322
Mallāwala Bhaini	id=g:1387323
Budh Chīchāwatnī	id=g:1387324
Chak One Hundred Ten-Seven AR	id=g:1387325
Chak One Hundred Eleven-Seven AR	id=g:1387326
Shamspura Resthouse	id=g:1387327
Chīchāwatni Road Railway Station	id=g:1387328
Tummanwāla One R Minor	id=g:1387329
Chak Thirty-seven-Twelve L	id=g:1387330
Chak Thirty-eight-Twelve L	id=g:1387331
Chak Thirty-six-Twelve L	id=g:1387332
Chak Thirty-nine-Twelve L	id=g:1387333
Chariībon ki Basti	id=g:1387334
Chak One Hundred Ten-Twelve L	id=g:1387335
Chak Thirty-five-Twelve	id=g:1387336
Chak Forty-Twelve L	id=g:1387337
Chak One Hundred Nine-Twelve L	id=g:1387338
Chak Forty-one-Twelve L	id=g:1387339
Janejwāla Minor	id=g:1387340
Two R Minor	id=g:1387341
Chak Eight	id=g:1387342
Three R Minor	id=g:1387343
Kassowāl Fourteen L Distributary	id=g:1387344
Mafdan Two R Minor	id=g:1387345
Chāndpur	id=g:1387346
Tabewāli	id=g:1387347
Nūr Ellāhi	id=g:1387348
Chak Ninety-eight-Twelve L	id=g:1387349
Miān Khaira	id=g:1387350
Khushāb	id=g:1387351
Wahābnūri	id=g:1387352
Ukānwāla Two R Minor	id=g:1387353
Bāra	id=g:1387354
Kālūnagar	id=g:1387355
Tandar Maqboolwāla	id=g:1387356
Parm Chaudhri Hafeez Ahmad	id=g:1387357
Shāhkot	id=g:1387358
Chak Ninety-Twelve L	id=g:1387359
Chak Eighty-six A-Twelve L	id=g:1387360
Chak Sixty-three-Twelve L	id=g:1387361
