Supat Gah	id=g:1164309
Supal Bānda	id=g:1164310
Supāb Nāla	id=g:1164311
Sunzai	id=g:1164312
Suntsar	id=g:1164313
Sunth	id=g:1164314
Sūn Sakesar Kahār	id=g:1164315
Sunn	id=g:1164316
Sūnd Tor Ghar	id=g:1164317
Sundrāni	id=g:1164318
Sund Khulla	id=g:1164319
Sund Derai	id=g:1164320
Sundarpur	id=g:1164321
Sundarpur	id=g:1164322
Sundarīwāla Tibba	id=g:1164323
Sundar Beli	id=g:1164324
Sunda	id=g:1164325
Chak Two Hundred Fifty-Four GB	id=g:1164326
Sunbak	id=g:1164327
Sunār	id=g:1164328
Shāhi Khwar	id=g:1164329
Sunahri	id=g:1164330
Sūn	id=g:1164331
Samrājo	id=g:1164332
Sumi River	id=g:1164333
Sumi	id=g:1164334
Sumer	id=g:1164335
Sūmbri	id=g:1164336
Sumarki	id=g:1164337
Sumāri Toi	id=g:1164338
Sumāri Pāyān	id=g:1164339
Sumāri Bāla	id=g:1164340
Sumār Chāchar	id=g:1164341
Sumar Chāchar	id=g:1164342
Sumar	id=g:1164343
Goth Sumār	id=g:1164344
Sum	id=g:1164345
Sultānwas	id=g:1164346
Sultān Thirāj	id=g:1164347
Sultān Shāhwāla	id=g:1164348
Sultān Reg	id=g:1164349
Sultānpur Hāmmar	id=g:1164350
Sultānpur	id=g:1164351
Sultānpur	id=g:1164352
Sultānpur	id=g:1164353
Sultānpur	id=g:1164354
Sultānpur	id=g:1164355
Sultānpur	id=g:1164356
Sultānpur	id=g:1164357
Sultānpur	id=g:1164358
Sultānpur	id=g:1164359
Sultānpur	id=g:1164360
Sultānpur	id=g:1164361
Sultānpur	id=g:1164362
Sultānpur	id=g:1164363
Chak Two Hundred Fifty-Nine	id=g:1164364
Sultān Kot Reserved Forest	id=g:1164365
Sultān Kot	id=g:1164366
Sultān Khel	id=g:1164367
Sultān Khel	id=g:1164368
Sultānke	id=g:1164369
Sultāni Khand	id=g:1164370
Sultānai	id=g:1164371
Sultānābād Railway Station	id=g:1164372
Sultānābād	id=g:1164373
Sultānābād	id=g:1164374
Koh-i-Sultān	id=g:1164375
Sultān	id=g:1164376
Sultān Bāranjo	id=g:1164377
Sului Kaur	id=g:1164378
Suloī Kandag	id=g:1164379
Sulo Gat	id=g:1164380
Sūllmāni	id=g:1164381
Sulki Branch	id=g:1164382
Sulki	id=g:1164383
Sulhi	id=g:1164384
Suler Kaur	id=g:1164385
