Kurebentaboniba	id=g:2110192
Kuma	id=g:2110193
Kotabu Island	id=g:2110194
Koinawa	id=g:2110195
Kiribati	id=g:2110196
Kings Wharf	id=g:2110197
Kiebu	id=g:2110198
Keuea	id=g:2110199
Kenna Island	id=g:2110200
Kawantetua	id=g:2110201
Kataraniti	id=g:2110202
Katabanga	id=g:2110203
Kariri	id=g:2110204
Kariatebike	id=g:2110205
Kairaoa	id=g:2110206
Kabuna	id=g:2110207
Kabangaki	id=g:2110208
Iku	id=g:2110209
Ijaki	id=g:2110210
Home Bay	id=g:2110211
Henson Rocks	id=g:2110212
Gran Cocal Reef	id=g:2110213
Gilbert Ridge	id=g:2110214
Gilbert Islands	id=g:2110215
Flink Point	id=g:2110216
Espiègle Anchorage	id=g:2110217
Eke	id=g:2110219
Eita	id=g:2110220
Eita	id=g:2110221
Eita	id=g:2110222
Eanikai	id=g:2110223
Central Channel	id=g:2110224
Butaritari Island	id=g:2110225
Butaritari Island	id=g:2110226
Butaritari	id=g:2110227
Buota	id=g:2110228
Buota	id=g:2110229
Buariki	id=g:2110230
Buariki	id=g:2110231
Buariki	id=g:2110232
Buariki	id=g:2110233
The Breaker	id=g:2110234
Borotiam	id=g:2110235
Bonriki	id=g:2110236
Bolton Point	id=g:2110237
Rakai ni Bitau	id=g:2110238
Binoinano	id=g:2110239
Bingham Channel	id=g:2110240
Bikentourakai	id=g:2110241
Bikenibeu	id=g:2110242
Bikeman Island	id=g:2110243
Bike Island	id=g:2110244
Bike	id=g:2110245
Bikati	id=g:2110246
Betio Anchorage	id=g:2110247
Betio	id=g:2110248
Betio	id=g:2110249
Beru Island	id=g:2110250
Batitotai	id=g:2110251
Baretoa Passage	id=g:2110252
Baretoa	id=g:2110253
Banraeaba	id=g:2110254
Bangai	id=g:2110255
Banaba Island	id=g:2110256
South Tarawa	id=g:2110257
Bairiki	id=g:2110258
Babaroroa	id=g:2110259
Autukia	id=g:2110260
Autukia	id=g:2110261
Autokia	id=g:2110262
Autakena Spit	id=g:2110263
Autakena Reef	id=g:2110264
Aubeangai	id=g:2110265
Arorae Island	id=g:2110266
Archer Entrance	id=g:2110267
Aranuka Island	id=g:2110268
Aranuka	id=g:2110269
Aran Islet	id=g:2110270
Arakeaka	id=g:2110271
Aparei	id=g:2110272
Aonobuaka	id=g:2110273
Aoniman	id=g:2110274
Antai	id=g:2110275
Animarao	id=g:2110276
Anaua	id=g:2110277
Anariki	id=g:2110278
Aiwa	id=g:2110279
Abemama Island	id=g:2110280
Abatiku	id=g:2110281
Abatao	id=g:2110282
Abatao	id=g:2110283
Abariringa Point	id=g:2110284
Abaokoro	id=g:2110285
Abaokoro	id=g:2110286
Abaiang Island	id=g:2110287
Bay of Wrecks	id=g:4030876
Whaler Anchorage	id=g:4030878
Vai-tepu	id=g:4030880
Motu Upou	id=g:4030881
Motu Tuba	id=g:4030882
Torea Torea Point	id=g:4030883
Atollwide Copra Production	id=g:4030884
Teraina Island	id=g:4030885
Te Nupa	id=g:4030887
Tabuaeran Channel	id=g:4030888
Tawata	id=g:4030889
Ponota	id=g:4030890
Tanekore	id=g:4030892
Tabuaeran Island	id=g:4030893
Motu Tabu	id=g:4030894
Starbuck Island	id=g:4030895
Spam Island	id=g:4030896
South West Point	id=g:4030897
South Passage	id=g:4030898
South East Point	id=g:4030899
Semple Reef	id=g:4030900
