Bethel United Methodist Church	id=g:4798797
Bethel United Methodist Church	id=g:4798798
Bethel Church	id=g:4798799
Bethel United Methodist Church	id=g:4798800
Bethel United Methodist Church	id=g:4798801
Bethel United Methodist Church	id=g:4798802
Bethel Church	id=g:4798803
Bethel Church	id=g:4798804
Bethel Church	id=g:4798805
Bethel Baptist Church	id=g:4798806
Bethel United Methodist Church	id=g:4798807
Bethel Church	id=g:4798808
Bethel Church	id=g:4798809
Bethel Church	id=g:4798810
Bethel Church	id=g:4798811
Bethel United Methodist Church	id=g:4798812
Bethel Church (historical)	id=g:4798813
Bethel Church Cemetery	id=g:4798814
Bethel Community Church	id=g:4798815
Bethel Memorial Park	id=g:4798816
Bethel Pentecostal Assembly of God Church	id=g:4798817
Bethel Presbyterian Church	id=g:4798818
Bethel Presbyterian Church Cemetery	id=g:4798819
Bethel Run	id=g:4798820
Berryburg	id=g:4798821
Bethel School (historical)	id=g:4798822
Bethel School (historical)	id=g:4798823
Bethel School (historical)	id=g:4798824
Bethel School (historical)	id=g:4798825
Bethel School (historical)	id=g:4798826
Bethel Schoolhouse (historical)	id=g:4798827
Bethel Tabernacle	id=g:4798828
Bethel Temple Assembly of God Church	id=g:4798829
Bethel United Methodist Church	id=g:4798830
Bethel Wesleyan Methodist Church	id=g:4798831
Betheny Churchyard	id=g:4798832
Bethesda	id=g:4798833
Bethesda Baptist Church	id=g:4798834
Bethesda United Methodist Church	id=g:4798835
Bethesda United Methodist Church	id=g:4798836
Bethesda Church (historical)	id=g:4798837
Bethlehem	id=g:4798838
Bethlehem Cemetery	id=g:4798839
Bethlehem Baptist Church	id=g:4798840
Bethlehem Baptist Church	id=g:4798841
Bethlehem Church	id=g:4798842
Bethlehem Church	id=g:4798843
Bethlehem United Methodist Church	id=g:4798844
Bethlehem Church	id=g:4798845
Bethlehem United Baptist Church	id=g:4798846
Betsy Branch	id=g:4798847
Bethel School (historical)	id=g:4798848
Betsy Run	id=g:4798849
Betts Cemetery	id=g:4798850
Betty L School (historical)	id=g:4798851
Beulah	id=g:4798852
Beulah Ann Church	id=g:4798853
Beulah Cemetery	id=g:4798854
Beulah Chapel	id=g:4798855
Beulah Church	id=g:4798856
Beulah Church	id=g:4798857
Beulah Church	id=g:4798858
Beulah Church	id=g:4798859
Beulah Church	id=g:4798860
Beulah Church	id=g:4798861
Beulah-Humble Memorial Presbyterian Church	id=g:4798862
Beulah Hill	id=g:4798863
Beulah Hill Community Building	id=g:4798864
Beulah Hollow	id=g:4798865
Betty Bell Knob	id=g:4798866
Beulah School (historical)	id=g:4798867
Beulah Trail	id=g:4798868
Mount Beulah	id=g:4798869
Beury	id=g:4798870
Beury Mountain	id=g:4798871
Beurytown	id=g:4798872
Bevan Bend	id=g:4798873
Bevan Hill	id=g:4798874
Bevans Cemetery	id=g:4798875
Bever Run Cemetery	id=g:4798876
Beverage Knob	id=g:4798877
Beverlin Fork	id=g:4798878
Beulah Knob	id=g:4798879
Beverly Cemetery	id=g:4798880
Beverly Elementary School	id=g:4798881
Beverly Fork	id=g:4798882
Beverly	id=g:4798883
Beverly Hills	id=g:4798884
Beverly Hills	id=g:4798885
