Sukamaju	id=g:6594115
Cijalu	id=g:6594116
Ci Jalu	id=g:6594117
Jatiindah	id=g:6594118
Mekarjati	id=g:6594119
Babakanjati	id=g:6594120
Sukaseuri Tengah	id=g:6594121
Karajan	id=g:6594122
Sukamulya	id=g:6594123
Babakanmaja	id=g:6594124
Simpang	id=g:6594125
Jomin	id=g:6594126
Sukaati Barat	id=g:6594127
Sukaati Timur	id=g:6594128
Bojong	id=g:6594129
Jonggol	id=g:6594130
Ciseureuh	id=g:6594131
Karangmulya	id=g:6594132
Cimahi	id=g:6594133
Rawasari	id=g:6594134
Rawamas	id=g:6594135
Perumahan Sukaseuri	id=g:6594136
Margamulya	id=g:6594137
Sukaseuri Timur	id=g:6594138
Sukaseuri Barat	id=g:6594139
Kamojing Barat	id=g:6594140
Sasakseng	id=g:6594141
Pasirnamprak	id=g:6594142
Babakanlio	id=g:6594143
Babakankalapa	id=g:6594144
Legokpanjang	id=g:6594145
Cilentah	id=g:6594146
Krajan Satu	id=g:6594147
Krajan Dua	id=g:6594148
Babakanhajimisbah	id=g:6594149
Cariu	id=g:6594150
Ci Balukbuk	id=g:6594151
Kamojing Lebak	id=g:6594152
Ciwates	id=g:6594153
Karajan	id=g:6594154
Kopopermai	id=g:6594155
Cintakarya	id=g:6594156
Mulyasari	id=g:6594157
Situ Kamojing	id=g:6594158
Karanganyar	id=g:6594159
Pasirwaru	id=g:6594160
Ci Bungur	id=g:6594161
Jalanbedeng	id=g:6594162
Ciwiru	id=g:6594163
Munjul	id=g:6594164
Kampungsawah	id=g:6594165
Ci Ampel	id=g:6594166
Ci Wiru	id=g:6594167
Cisupa	id=g:6594168
Babakanbandung	id=g:6594169
Rawasalam	id=g:6594170
Karangmekar	id=g:6594171
Haurngambang	id=g:6594172
Ci Gelam	id=g:6594173
Ciwiru	id=g:6594174
Munjul	id=g:6594175
Sukagalih	id=g:6594176
Komplek Proyek Otorita Jatiluhur	id=g:6594177
Parungkadali	id=g:6594178
Babakannarogtog	id=g:6594179
Ciampel	id=g:6594180
Sindangreret	id=g:6594181
Cimahi	id=g:6594182
Cikiara	id=g:6594183
Warunghaji	id=g:6594184
Cijati	id=g:6594185
Citamiang	id=g:6594186
Jatimulya	id=g:6594187
Karajan	id=g:6594188
Dangdeur Satu	id=g:6594189
Dangdeur Dua	id=g:6594190
Sukamanah	id=g:6594191
Conggeang	id=g:6594192
Narogtog	id=g:6594193
Cisalak	id=g:6594194
Sukamulya	id=g:6594195
Awimekar	id=g:6594196
Warungmekar	id=g:6594197
Duren	id=g:6594198
Tirtaraya	id=g:6594199
Cilame	id=g:6594200
Warung Kidul	id=g:6594201
Sukawening	id=g:6594202
Mekarjaya	id=g:6594203
Bunder	id=g:6594204
Gandasari	id=g:6594205
Gandasoli	id=g:6594206
Panodongan	id=g:6594207
Cikuray	id=g:6594208
Cilele	id=g:6594209
Tegaljaya	id=g:6594210
Parungnala	id=g:6594211
Talibaju	id=g:6594212
Sawah	id=g:6594213
Ciroyom	id=g:6594214
Ciasem	id=g:6594215
Bayur	id=g:6594216
Cikananga	id=g:6594217
Gandawari	id=g:6594218
Babakansadang	id=g:6594219
Desa Kedungwaringin	id=g:6594487
Desa Bojongsari	id=g:6594488
Kelurahan Tanjungpura	id=g:6594489
Desa Purwadana	id=g:6594490
Desa Parungsari	id=g:6594491
Desa Sukamakmur	id=g:6594492
Desa Karangligar	id=g:6594493
Desa Margamulya	id=g:6594494
Desa Margakaya	id=g:6594495
Desa Wadas	id=g:6594496
Desa Sukaharja	id=g:6594497
Desa Sukaluyu	id=g:6594498
Desa Puseurjaya	id=g:6594499
Desa Sirnabaya	id=g:6594500
Desa Pinayungan	id=g:6594501
Desa Duren	id=g:6594502
Desa Gintungkerta	id=g:6594503
Desa Cibalongsari	id=g:6594504
Desa Klari	id=g:6594505
Desa Anggadita	id=g:6594506
Desa Warungbambu	id=g:6594507
Desa Telukjambe	id=g:6594508
Kelurahan Adiarsa	id=g:6594509
Kelurahan Karawang Kulon	id=g:6594510
Kelurahan Karawang Wetan	id=g:6594511
Kelurahan Karangpawitan	id=g:6594512
Kelurahan Nagasari	id=g:6594513
Desa Kondangjaya	id=g:6594514
Desa Bengle	id=g:6594515
Desa Margasari	id=g:6594516
Desa Lemahmulya	id=g:6594517
Desa Pasirjengkol	id=g:6594518
Kelurahan Palumbonsari	id=g:6594519
Desa Ciranggon	id=g:6594520
Desa Sarijaya	id=g:6594521
Kelurahan Plawad	id=g:6594522
Desa Majalaya	id=g:6594523
Desa Tegalsawah	id=g:6594524
Desa Kutawargi	id=g:6594525
Desa Pasirkaliki	id=g:6594526
Desa Purwamekar	id=g:6594527
Kecamatan Karawang	id=g:6594528
Kali Kamojing	id=g:6594529
Ci Kapek	id=g:6594530
Kramatjaya	id=g:6594531
Jatiudik Dua	id=g:6594532
Karangmulya	id=g:6594533
Kosambijaya	id=g:6594534
Jambe	id=g:6594535
Krajan	id=g:6594536
Baringkung	id=g:6594537
Tamiang	id=g:6594538
Sumursaat	id=g:6594539
Bojongloa	id=g:6594540
Rawacula	id=g:6594541
Babakanisap	id=g:6594542
Kedungmulya	id=g:6594543
Sempur	id=g:6594544
