Porto Saico	id=g:2370531
Porto Parul	id=g:2370532
Rio Porto Madeira	id=g:2370533
Porto Gole	id=g:2370534
Porto de Corcô	id=g:2370535
Canal do Porto	id=g:2370536
Porto	id=g:2370537
Ponta do Portinho	id=g:2370538
Ilhéus dos Porcos	id=g:2370539
Ilhéu dos Porcos	id=g:2370540
Rio de Popoti	id=g:2370541
Popoti	id=g:2370542
Rio de Popójè	id=g:2370543
Popójè	id=g:2370544
Pontia	id=g:2370545
Ponte Móvel	id=g:2370546
Ponte do Corubal	id=g:2370547
Ponte do Corubal	id=g:2370548
Ponte de Lima	id=g:2370549
Ponte	id=g:2370550
Ponta Vicente de Mata	id=g:2370551
Ponta Vicente Barbosa	id=g:2370552
Ponta Vermelha	id=g:2370553
Ponta Veríssimo	id=g:2370554
Ponta Vasconcelos	id=g:2370555
Ponta Vasconcelos	id=g:2370556
Ponta Varela	id=g:2370557
Ponta Valentim	id=g:2370558
Ponta Valentim	id=g:2370559
Ponta Umbrum	id=g:2370560
Ponta Umbome	id=g:2370561
Ponta Tomaz Vaz	id=g:2370562
Ponta Tomázia	id=g:2370563
Ponta Tinta	id=g:2370564
Ponta Tenente Coronel	id=g:2370565
Ponta Teixeira	id=g:2370566
Ponta Teixeira	id=g:2370567
Ponta Soares	id=g:2370568
Ponta Soares	id=g:2370569
Ponta Sinoi	id=g:2370570
Ponta Simão	id=g:2370571
Ponta Simão	id=g:2370572
Ponta São Vicente	id=g:2370573
Ponta Sanhá	id=g:2370574
Ponta Salvador Barreto	id=g:2370575
Ponta Romão	id=g:2370576
Ponta Rocha	id=g:2370577
Ponta Roberto Cordeiro	id=g:2370578
Ponta Ricardo Soares	id=g:2370579
Ponta Rapaz	id=g:2370580
Ponta Pónate	id=g:2370581
Ponta Pinto	id=g:2370582
Ponta Piniz	id=g:2370583
Ponta Penoi	id=g:2370584
Ponta Penhasse	id=g:2370585
Ponta Paulo Comba	id=g:2370586
Ponta Paixão	id=g:2370587
Ponta Ondi Vieira	id=g:2370588
Ponta Nova de Sajà	id=g:2370589
Ponta Nova	id=g:2370590
Ponta Nova	id=g:2370591
Ponta Nova	id=g:2370592
Ponta Nova	id=g:2370593
Ponta Nova	id=g:2370594
Ponta Nova	id=g:2370595
Ponta Nova	id=g:2370596
Ponta Nova	id=g:2370597
Ponta Nova	id=g:2370598
Ponta Nova	id=g:2370599
Ponta Nova	id=g:2370600
Ponta Nova	id=g:2370601
Ponta Nova	id=g:2370602
Ponta Nova	id=g:2370603
Ponta Nova	id=g:2370604
Ponta Nhamudefè	id=g:2370605
Ponta Nhaga	id=g:2370606
Ponta Monte Cristo	id=g:2370607
Ponta Moço	id=g:2370608
Ponta Mátar	id=g:2370609
Ponta Mariano	id=g:2370610
Ponta Mariana	id=g:2370611
Ponta Maria Câmara	id=g:2370612
Ponta Manuel Vieira	id=g:2370613
Ponta Manuel Rodrigues	id=g:2370614
Ponta Manuel Dias	id=g:2370615
Ponta Manuel das Águas	id=g:2370616
Ponta Manuel	id=g:2370617
Ponta Mamadu	id=g:2370618
Ponta Luís Gomes	id=g:2370619
Ponta Luís Dias	id=g:2370620
Ponta Luís Cabral	id=g:2370621
Ponta Luís	id=g:2370622
Ponta Leandro Lopes	id=g:2370623
Ponta Lagoa	id=g:2370624
Ponta José Vieira	id=g:2370625
Ponta José da Silva	id=g:2370626
Ponta Joaquim Pereira	id=g:2370627
Ponta Joaquim Pereira	id=g:2370628
Ponta Joaquim Mendes	id=g:2370629
Ponta João da Silva	id=g:2370630
Ponta João Carlos	id=g:2370631
Ponta J. Fona	id=g:2370632
Ponta Isidoro	id=g:2370633
Ponta Isaac	id=g:2370634
Ponta Inácia	id=g:2370635
Ponta Honório	id=g:2370636
Ponta Guerra	id=g:2370637
Ponta Gregório Mendonça	id=g:2370638
Ponta Gomes	id=g:2370639
Ponta Germano Landim	id=g:2370640
Ponta Geraldo Landim	id=g:2370641
Ponta Gardete	id=g:2370642
Ponta Furtado	id=g:2370643
Ponta Francisco Quadros	id=g:2370644
Ponta Francisco Monteiro	id=g:2370645
Ponta Francisco Araújo	id=g:2370646
Ponta Fortuna	id=g:2370647
Ponta Forse	id=g:2370648
Ponta Filipe	id=g:2370649
Ponta Fernandes	id=g:2370650
Ponta Fernandes	id=g:2370651
Ponta Domingos Monteiro	id=g:2370652
Ponta do Inglês	id=g:2370653
Ponta Doce Mancanha	id=g:2370654
Ponta Doce Balanta	id=g:2370655
Ponta Doce	id=g:2370656
Ponta Doce	id=g:2370657
Ponta Dinis Barbosa	id=g:2370658
Ponta de Pedra	id=g:2370659
Porto da Ponta de Pau	id=g:2370660
Ponta Dangã	id=g:2370661
Ponta da Negado	id=g:2370662
