Vaisaari	id=g:842044
Polusmäki	id=g:842045
Härkämäki	id=g:842046
Hauninen	id=g:842047
Runosmäki	id=g:842048
Ruohonpää	id=g:842049
Teräsrautela	id=g:842050
Vätti	id=g:842051
Kastu	id=g:842052
Kaerla	id=g:842053
Kärsämäki	id=g:842054
Koroinen	id=g:842055
Räntämäki	id=g:842056
Oriketo	id=g:842057
Halinen	id=g:842058
Metsämäki	id=g:842059
Auranlaakso	id=g:842060
Aliskulma	id=g:842061
Vanhalinna	id=g:842062
Hakkinen	id=g:842063
Sillilä	id=g:842064
Tuulissuo	id=g:842065
Ketola	id=g:842066
Kärpijoki	id=g:842067
Kahloja	id=g:842068
Idgrundsgrynnan	id=g:842069
Västra Ändan	id=g:842070
Racklet	id=g:842071
Hamnfjärden	id=g:842072
Lillskären	id=g:842073
Norrändan	id=g:842074
Lillån	id=g:842075
Lillån	id=g:842076
Norrsundet	id=g:842077
Marias klobbarna	id=g:842078
Skären	id=g:842079
Skötören	id=g:842080
Ön	id=g:842081
Tallgrund	id=g:842082
Gyltgrund	id=g:842083
Svartön	id=g:842084
Kyrkfallet	id=g:842085
Korvenala	id=g:842086
Furuskäret	id=g:842087
Östra Kumlet	id=g:842088
Långgrund	id=g:842089
Fårskärrskatan	id=g:842090
Östergrynnor	id=g:842091
Bofjärden	id=g:842092
Syndersjön	id=g:842093
Kankaanpäänkulma	id=g:842094
Höijers Sten	id=g:842095
Norrgrund	id=g:842096
Norrgrynnan	id=g:842097
Kaldhamn	id=g:842098
Inre Kaldhamn	id=g:842099
Slåttor	id=g:842100
Skata	id=g:842101
Hartor	id=g:842102
Härkmeriån	id=g:842103
Norrberget	id=g:842104
Flyttjorna	id=g:842105
Margrund	id=g:842106
Klobbskäret	id=g:842107
Långgrund	id=g:842108
Håkosjön	id=g:842109
Hällklobben	id=g:842110
Girsberget	id=g:842111
Girsberget	id=g:842112
Hansnäset	id=g:842113
Storstenen	id=g:842114
Stora Sundet	id=g:842115
Solaxgrunden	id=g:842116
Ängsviken	id=g:842117
Ängranholmen	id=g:842118
Skiftsholmen	id=g:842119
Mattiholmen	id=g:842120
Ånäsholmen	id=g:842121
Grönviken	id=g:842122
Blomträsket	id=g:842123
Överstträsket	id=g:842124
Uttermossabäcken	id=g:842125
Norrviken	id=g:842126
Korsbäck	id=g:842127
Svartkobban	id=g:842128
Stånggrund	id=g:842129
Gråskärsbådan	id=g:842130
Vikbäcken	id=g:842131
Mostan	id=g:842132
Knappelbådan	id=g:842133
Västerskäret	id=g:842134
Österskäret	id=g:842135
Lappungen	id=g:842136
Sandbergs Bådan	id=g:842137
Trutkobban	id=g:842138
Krabbgrund	id=g:842139
Halsgrund	id=g:842140
Saltgrund	id=g:842141
Mellanklobben	id=g:842142
Pilander	id=g:842143
Stickelgrund	id=g:842144
Svartgrund	id=g:842145
Svartstenarna	id=g:842146
Vilgrund	id=g:842147
Vargöviken	id=g:842148
Stenbacken	id=g:842149
Åbyggändan	id=g:842150
Flackåsen	id=g:842151
Kvarnån	id=g:842152
Båtskäret	id=g:842153
Lilla Båtskäret	id=g:842154
Björkskäret	id=g:842155
Furuviken	id=g:842156
Skatan	id=g:842157
Granskäret	id=g:842158
Skataudden	id=g:842159
Böle	id=g:842161
Åbacken	id=g:842162
Palon	id=g:842163
Villuri	id=g:842164
Västra Björnen	id=g:842165
Östra Björnen	id=g:842166
Hindsan	id=g:842167
Björnö Sund	id=g:842168
Racklet	id=g:842169
Blåbärsskogen	id=g:842170
Östra Sidan	id=g:842171
Kalvgrund	id=g:842172
Sandan	id=g:842173
Nyskiftan	id=g:842174
Kullan	id=g:842175
Ingvesholmen	id=g:842176
Idbäcken	id=g:842177
Alakuja	id=g:842178
Alakylä	id=g:842179
Nybådan	id=g:842180
Skötgrundskobban	id=g:842181
Storklack	id=g:842182
Jåp	id=g:842183
