Chambon-sur-Voueize	id=g:6447708
Chamborand	id=g:6447710
Champagnat	id=g:6447711
Champsanglard	id=g:6447712
Chard	id=g:6447713
Charron	id=g:6447714
Châtelard	id=g:6447715
Châtelus-le-Marcheix	id=g:6447716
Châtelus-Malvaleix	id=g:6447717
Chavanat	id=g:6447718
Chénérailles	id=g:6447719
Chéniers	id=g:6447720
Clairavaux	id=g:6447721
Clugnat	id=g:6447722
Colondannes	id=g:6447723
Cressat	id=g:6447724
Crozant	id=g:6447725
Domeyrot	id=g:6447726
Dontreix	id=g:6447727
Dun-le-Palestel	id=g:6447728
Évaux-les-Bains	id=g:6447729
Faux-la-Montagne	id=g:6447730
Faux-Mazuras	id=g:6447731
Felletin	id=g:6447732
Féniers	id=g:6447733
Flayat	id=g:6447734
Fontanières	id=g:6447735
Fransèches	id=g:6447736
Fresselines	id=g:6447737
Genouillac	id=g:6447738
Glénic	id=g:6447739
Guéret	id=g:6447740
Issoudun-Létrieix	id=g:6447741
Annesse-et-Beaulieu	id=g:6447742
Antonne-et-Trigonant	id=g:6447743
Archignac	id=g:6447744
Atur	id=g:6447745
Aubas	id=g:6447746
Audrix	id=g:6447747
Augignac	id=g:6447748
Auriac-du-Périgord	id=g:6447749
Azerat	id=g:6447750
Badefols-d'Ans	id=g:6447751
Badefols-sur-Dordogne	id=g:6447752
Baneuil	id=g:6447753
Bardou	id=g:6447754
Bars	id=g:6447755
Bassillac	id=g:6447756
Bayac	id=g:6447757
Beaumont-du-Périgord	id=g:6447758
Beaupouyet	id=g:6447759
Beauregard-de-Terrasson	id=g:6447760
Beauregard-et-Bassac	id=g:6447761
Beauronne	id=g:6447762
Beaussac	id=g:6447763
Beleymas	id=g:6447764
Berbiguières	id=g:6447765
Bertric-Burée	id=g:6447766
Beynac-et-Cazenac	id=g:6447767
Bézenac	id=g:6447768
Biras	id=g:6447769
Blis-et-Born	id=g:6447770
Boisse	id=g:6447771
Boisseuilh	id=g:6447772
Bonneville-et-Saint-Avit-de-Fumadières	id=g:6447773
Borrèze	id=g:6447774
Bosset	id=g:6447775
Bouniagues	id=g:6447776
Bourg-des-Maisons	id=g:6447777
Bourg-du-Bost	id=g:6447778
Bourgnac	id=g:6447779
Bourniquel	id=g:6447780
Bourrou	id=g:6447781
Bouteilles-Saint-Sébastien	id=g:6447782
Bouzic	id=g:6447783
Brantôme	id=g:6447784
Brouchaud	id=g:6447785
Busserolles	id=g:6447786
Bussière-Badil	id=g:6447787
Calès	id=g:6447788
Campsegret	id=g:6447790
Cantillac	id=g:6447791
Capdrot	id=g:6447792
Carsac-Aillac	id=g:6447793
Carsac-de-Gurson	id=g:6447794
Castels	id=g:6447795
Cause-de-Clérans	id=g:6447796
Celles	id=g:6447798
Cénac-et-Saint-Julien	id=g:6447799
Cendrieux	id=g:6447800
Cercles	id=g:6447801
Chalagnac	id=g:6447802
Champagne-et-Fontaine	id=g:6447803
Champcevinel	id=g:6447804
Allenjoie	id=g:6447805
Allondans	id=g:6447806
Amagney	id=g:6447807
Amathay-Vésigneux	id=g:6447808
Amondans	id=g:6447809
Anteuil	id=g:6447810
Arbouans	id=g:6447811
Arcey	id=g:6447813
Arçon	id=g:6447814
