Chefe Mabecuane	id=g:1101455
Lago Nhabovo	id=g:1101456
Muquezane	id=g:1101457
Lago Búlue	id=g:1101458
São Pedro	id=g:1101459
Chefe Chilubuane	id=g:1101460
Lago Chacanhete	id=g:1101461
Lago Uamassasse	id=g:1101462
Aldeia Rodriques	id=g:1101463
Malazelane	id=g:1101464
Cabo Indude	id=g:1101465
Nossa Senhora de Fátima	id=g:1101466
João Fonseca	id=g:1101467
João Fonseca	id=g:1101468
Nossa Senhora das Mercês	id=g:1101469
Nhavangue	id=g:1101470
Z. Bengo	id=g:1101471
Cat. Met. Episcopal	id=g:1101472
Cat. Congregacional	id=g:1101473
Santo António	id=g:1101474
Chefe Seta	id=g:1101475
Lago Reverreve	id=g:1101476
Lago Nhambiane	id=g:1101477
Chefe Macangane	id=g:1101478
Chefe Guinjara	id=g:1101479
Maugane	id=g:1101480
Chefe Maugane	id=g:1101481
Uetimane	id=g:1101482
José	id=g:1101483
Mugode	id=g:1101484
Lago Mahungane	id=g:1101485
Mafussi	id=g:1101486
Namborete	id=g:1101487
Bauhoffer	id=g:1101488
Manganhane	id=g:1101489
Júlia	id=g:1101490
Mavume	id=g:1101491
José	id=g:1101492
Aldeia Teixeira	id=g:1101493
Finiasse	id=g:1101494
Chefe Cuelane	id=g:1101495
Mutamba	id=g:1101496
Chefe Matenga	id=g:1101497
São Francisco de Assis	id=g:1101498
Chefe Luene	id=g:1101499
Umbana	id=g:1101500
Lourenço	id=g:1101501
Planicie de Nhalue	id=g:1101502
Santa Terezinha	id=g:1101503
Tchuquela	id=g:1101504
Mugolani	id=g:1101505
Sainda	id=g:1101506
J. Vaz	id=g:1101507
Mambico	id=g:1101508
J. José da Cruz	id=g:1101509
Netico Nhalombe	id=g:1101510
Cabo Magumbela	id=g:1101511
Matenga	id=g:1101512
Regedor Cumbana	id=g:1101513
Chefe Mafacaviana	id=g:1101514
Chefe Dauca	id=g:1101515
Maiembulani	id=g:1101516
Marrilane	id=g:1101517
Serração Marrilane	id=g:1101518
Laço	id=g:1101519
Chefe Bambatela	id=g:1101520
Supeia	id=g:1101521
Chefe Dopa	id=g:1101522
Chefe Muconjo	id=g:1101523
Santa Maria	id=g:1101524
Muhanhe	id=g:1101525
Lago Inhamassecuane	id=g:1101526
Met. Livre	id=g:1101527
Lago Chefacane	id=g:1101528
Cabo Lindela	id=g:1101529
Lago Marrinhane	id=g:1101530
Lago Chenormunho	id=g:1101531
Lago Machecane	id=g:1101532
Cabo Guimereco	id=g:1101533
Brejo Chiguissane	id=g:1101534
C. Biana	id=g:1101535
Brejo Rigueni	id=g:1101536
Régulo Bambamba	id=g:1101537
Cabo Marrúcua	id=g:1101538
São Miquel Arcanjo	id=g:1101539
Conceição	id=g:1101540
Cabo Bongo	id=g:1101541
Marretane	id=g:1101542
Bandeira	id=g:1101543
Rucuarrucuane	id=g:1101544
C. Guissembe	id=g:1101545
Tambinda	id=g:1101546
Mar	id=g:1101547
Chefe Jamo	id=g:1101548
Imacul	id=g:1101549
Massinga	id=g:1101550
Armazém	id=g:1101551
Cumbane	id=g:1101552
Serração Mecãnica	id=g:1101553
Alberto	id=g:1101554
Nossa Senhora do Carmo	id=g:1101555
Mário Cume	id=g:1101556
Tuboi	id=g:1101557
Macuarrulene	id=g:1101558
Sabonete	id=g:1101559
Nheoane	id=g:1101560
Chibanda	id=g:1101561
Chefe Mailene	id=g:1101562
Baule	id=g:1101563
Simone	id=g:1101564
Massembave	id=g:1101565
