Port Royal Cove	id=g:3745608
Peel Rock	id=g:3745609
Peel Rock Cove	id=g:3745610
Butts Beach	id=g:3745611
Middle Beach	id=g:3745612
Water Rocks	id=g:3745613
Water Rocks Beach	id=g:3745614
Angle Beach	id=g:3745615
Hidden Beach	id=g:3745616
Elephant Head	id=g:3745617
Jobson’s Point	id=g:3745618
Vicker’s Bay	id=g:3745619
Captain Williams’s Bay	id=g:3745620
Bayliss’s Bay	id=g:3745621
Turtle Island	id=g:3745622
East Point	id=g:3745623
Tern Rock	id=g:3745624
Collin’s Island	id=g:3745625
Redshank Islands	id=g:3745626
Devil Head	id=g:3745627
Cockroach Rock	id=g:3745628
Meeting House Bay	id=g:3745629
Dingle Island	id=g:3745630
Dingle Point	id=g:3745631
White Shoal	id=g:3745632
Gill Licker Shoal	id=g:3745633
Smith’s Island Bay	id=g:3745634
Powder Hole	id=g:3745635
Little Rogue’s Island	id=g:3745636
Soldier Bay	id=g:3745637
Bridge Bay	id=g:3745638
Devonshire Dock	id=g:3745639
Dockyard Point	id=g:3745640
Grassy Bay	id=g:3745641
Mount Island	id=g:3745642
Beek Rock	id=g:3745643
Tilley Island	id=g:3745644
Cobbler’s Cut	id=g:3745645
Lapstone	id=g:3745646
The Fairmont Hamilton Princess	id=g:6467358
The Fairmont Southampton Hotel	id=g:6467989
Elbow Beach	id=g:6470909
Grotto Bay Beach Hotel	id=g:6472151
Munro Beach Cottages	id=g:6481044
Aunt Nea's Inn At Hillcrest	id=g:6482360
Coco Reef Bermuda	id=g:6497149
Cambridge Beaches Resort	id=g:6497203
9 Beaches	id=g:6497978
Grape Bay Beach Hotel	id=g:6500921
Surf Side Beach Club	id=g:6502891
Ariel Sands Beach Club	id=g:6503418
Wharf Executive Suites	id=g:6503461
Harmony Club Bermuda	id=g:6503525
Rosemont Apartments	id=g:6505128
Horizons And Cottages	id=g:6509318
Pink Beach Club	id=g:6510092
Clear View Suites And Cottages	id=g:6512245
Harmony Club	id=g:6514669
Waterloo House	id=g:6526488
Fourways Inn And Cottages	id=g:6529756
Pompano Beach Club	id=g:6530977
Sandpiper Apartments	id=g:6532790
Darrell's Wharf Ferry Stop	id=g:6940885
Cobbs Hill Road	id=g:6940886
Warwick Academy	id=g:6940887
Upper Crust	id=g:6940888
Sungai Yul	id=g:1820055
Sungai Yu	id=g:1820056
Sungai Yau	id=g:1820057
Sungai Wong	id=g:1820058
Sungai Wasan	id=g:1820059
Sungai Wasai	id=g:1820060
Bukit Usong	id=g:1820061
Sungai Urup	id=g:1820062
Sungai Ukong	id=g:1820064
Sungai Ugong	id=g:1820065
Bukit Udal	id=g:1820066
Sungai Tutong Merah	id=g:1820067
Tutong District	id=g:1820068
Sungai Tutong	id=g:1820069
Kuala Tutong	id=g:1820070
Tutong	id=g:1820071
Bukit Tunjang Pipit	id=g:1820072
Sungai Tungku	id=g:1820073
Sungai Tungkadeh	id=g:1820074
Sungai Tunggulian Kechil	id=g:1820075
Sungai Tunggulian Besar	id=g:1820076
Bukit Tunggulian	id=g:1820077
Sungai Tumasek	id=g:1820078
Sungai Tudal	id=g:1820079
Sungai Tuan	id=g:1820080
Sungai Tropong	id=g:1820081
Sungai Tingap	id=g:1820082
Sungai Tiga	id=g:1820083
Sungai Tidan	id=g:1820084
Sungai Tian Payau	id=g:1820085
Sungai Tian	id=g:1820086
Sungai Tetamu	id=g:1820087
Tanjong Teritip	id=g:1820088
Sungai Teritip	id=g:1820089
Sungai Teraja	id=g:1820090
Bukit Teraja	id=g:1820091
Sungai Tepiku	id=g:1820092
Sungai Tepangan	id=g:1820093
Sungai Tepam	id=g:1820094
Sungai Tenuyong	id=g:1820095
Sungai Tengah	id=g:1820096
Sungai Tendureh Damit	id=g:1820098
Sungai Tendureh Besar	id=g:1820099
Tempuan Ugas	id=g:1820100
Sungai Tempinak	id=g:1820101
Bukit Tempayan Pisang	id=g:1820102
Sungai Temiang	id=g:1820103
Sungai Temerok	id=g:1820104
Sungai Temburong Machang	id=g:1820105
Temburong District	id=g:1820106
Sungai Temburong	id=g:1820107
Sungai Tembunan	id=g:1820108
Sungai Tembailek	id=g:1820109
Sungai Tembailek	id=g:1820110
Sungai Temawai	id=g:1820111
Bukit Temanik	id=g:1820112
Temada	id=g:1820113
Bukit Telugong	id=g:1820114
Sungai Telisai	id=g:1820115
Sungai Telisai	id=g:1820116
Bukit Telingan	id=g:1820117
Sungai Telamba	id=g:1820118
Sungai Telaga Tiga	id=g:1820119
Sungai Tekuyong	id=g:1820120
Sungai Tebabang	id=g:1820121
Sungai Tasek	id=g:1820122
Sungai Taring	id=g:1820123
Sungai Taring	id=g:1820124
Sungai Tarap	id=g:1820125
Sungai Taong	id=g:1820126
Sungai Tanjong Pasir	id=g:1820127
Sungai Tanjong Pampang	id=g:1820128
Sungai Tanjong Maya	id=g:1820129
Pulau Tanjong Maya	id=g:1820130
Sungai Tangur	id=g:1820131
Tangki Ayer	id=g:1820132
Sungai Tanah Panggal	id=g:1820133
Tanjong Tanah Palang	id=g:1820134
Aur Tanah	id=g:1820135
Sungai Tamunok	id=g:1820136
Sungai Tampuan Nyatoi	id=g:1820137
Sungai Tampoi	id=g:1820138
Sungai Taman Lasong	id=g:1820139
Sungai Tali	id=g:1820140
Bang Tajok	id=g:1820141
Sungai Tajau	id=g:1820142
Bang Tagas	id=g:1820143
Lubok Tagal	id=g:1820144
Bukit Tabor Bintang	id=g:1820145
Sungai Suragam	id=g:1820146
Sungai Supon	id=g:1820147
Bukit Supon	id=g:1820148
Sungai Supit	id=g:1820149
Sungai Sunda	id=g:1820151
Sungai Sunan	id=g:1820152
Sungai Sumpakan	id=g:1820153
Sungai Sumor	id=g:1820154
Sungai Sumbiling	id=g:1820155
Sungai Sukin	id=g:1820156
Sukang Hilir	id=g:1820157
Lubok Sukang	id=g:1820158
Sukang	id=g:1820159
Sungai Subok	id=g:1820160
Bukit Stapok	id=g:1820162
South Bar Bank	id=g:1820164
Sungai Soga	id=g:1820165
Tanjong Sipusu	id=g:1820166
Sungai Sipan	id=g:1820167
Sungai Sipal	id=g:1820168
Sungai Sinupoi Besar	id=g:1820169
Sungai Sinukoh	id=g:1820170
Sungai Singap	id=g:1820171
Bukit Singap	id=g:1820172
Sungai Sinaut	id=g:1820173
Bukit Sinaut	id=g:1820174
Sungai Sinarubai	id=g:1820175
Sungai Simud	id=g:1820176
Pulau Silama	id=g:1820177
Sungai Sigoho	id=g:1820178
Sungai Sibut	id=g:1820179
Pulau Sibungor	id=g:1820180
Bukit Sibundang	id=g:1820181
Sungai Sibuke	id=g:1820182
Pulau Siarau	id=g:1820183
Sungai Serusup	id=g:1820184
Sungai Seria	id=g:1820185
Sungai Seria	id=g:1820186
Seria	id=g:1820187
Tanjong Serasa	id=g:1820188
Sungai Semburu	id=g:1820189
Sungai Sembatu	id=g:1820190
Sungai Sembatang	id=g:1820191
