Stöckl-Grundalm	id=g:2603296
Moser Hochalm	id=g:2603297
Flachbühel	id=g:2603298
Bacher Hochalm	id=g:2603299
Bachhäuslalm	id=g:2603300
Bergeralm	id=g:2603301
Sulzbach	id=g:2603302
Brandstätt	id=g:2603303
Schnabler	id=g:2603304
Wurzeggalm	id=g:2603305
Grüner Bach	id=g:2603306
Hinterjudendorfer Alm	id=g:2603307
Bäckenanderlalm	id=g:2603308
Kreuzkopf	id=g:2603309
Schnableralm	id=g:2603310
Breitegg	id=g:2603311
Brennstein	id=g:2603312
Saurüssel	id=g:2603313
Mühlauer Hochalm	id=g:2603314
Roßkopf	id=g:2603315
Laubkopf	id=g:2603316
Imbachkar	id=g:2603317
Türchelkopf	id=g:2603318
Hirzbachkar	id=g:2603319
Brandlsee	id=g:2603320
Brandlscharte	id=g:2603321
Falkenbachkar	id=g:2603322
Falkenbachhütte	id=g:2603323
Roßkopf	id=g:2603324
Harleitenalm	id=g:2603325
Ahornboden	id=g:2603326
Grubbach	id=g:2603327
Schwarzenbach	id=g:2603328
Krapfgrund	id=g:2603329
Gletscherbahnen Kaprun	id=g:2603330
Jagdhaus Kapruner Törl	id=g:2603331
Hinterwald	id=g:2603332
Breitriesenalm	id=g:2603333
Eder Grundalm	id=g:2603334
Hohes Kampeck	id=g:2603335
Eder Hochalm	id=g:2603336
Unterberg Hochalm	id=g:2603337
Stangenhöhe	id=g:2603338
Steinkarlalm	id=g:2603339
Bambachkopf	id=g:2603340
Salbachkopf	id=g:2603341
Steinkarlscharte	id=g:2603342
Hackl Grundalm	id=g:2603343
Polz Grundalm	id=g:2603344
Seppinger Grundalm	id=g:2603345
Schaunberg Grundalm	id=g:2603346
Seppinger Mitteralm	id=g:2603347
Stefflscharte	id=g:2603348
Grundalm	id=g:2603349
Birg-Hochalm	id=g:2603350
Gamskrägen	id=g:2603351
Renzelscharte	id=g:2603352
