Nordøybjørnen	id=g:3242569
Nordøysundet	id=g:3242570
Skorholmen	id=g:3242571
Skitnaskjeret	id=g:3242574
Simonskjeret	id=g:3242576
Håskjeri	id=g:3242577
Flateflesi	id=g:3242578
Djupaflui	id=g:3242580
Storflesi	id=g:3242582
Bolleflesi	id=g:3242585
Nordskjeret	id=g:3242586
Klovskjeret	id=g:3242587
Nakkane	id=g:3242588
Bårøyni	id=g:3242589
Revet	id=g:3242590
Persgrunnen	id=g:3242591
Magneskallane	id=g:3242592
Håkeskallen	id=g:3242593
Grunnafjellet	id=g:3242594
Grunnskallen	id=g:3242595
Hellisøyane	id=g:3242596
Hellisøyskjeret	id=g:3242597
Søre Hellisøyskallen	id=g:3242599
Hellisøyflui	id=g:3242600
Breidviki	id=g:3242601
Auripollen	id=g:3242602
Synste Odde	id=g:3242603
Djupflua	id=g:3242604
Fedjebåen	id=g:3242605
Vassviki	id=g:3242607
Havreboen	id=g:3242608
Løynevågen	id=g:3242609
Halsen	id=g:3242612
Hatteboen	id=g:3242615
Kvalviki	id=g:3242619
Islendingane	id=g:3242621
Sængneset	id=g:3242623
Oksen	id=g:3242624
Øshammaren	id=g:3242626
Langbåen	id=g:3242627
Suleflua	id=g:3242628
Suleskjeret	id=g:3242629
Sandøygrunnen	id=g:3242630
Skjeljeflunakken	id=g:3242631
Storeflua	id=g:3242633
Synstelen	id=g:3242636
Bruvågen	id=g:3242637
Litle Leieskjeret	id=g:3242641
Store Leieskjeret	id=g:3242642
Søndre Vidnappen	id=g:3242646
Nordre Vidnappen	id=g:3242647
Pollen	id=g:3242648
Argen	id=g:3242649
Harjen	id=g:3242651
Hesthaugen	id=g:3242652
Fiskholmane	id=g:3242653
Store Fiskholmen	id=g:3242654
Litle Fiskholmen	id=g:3242655
Siriholmen	id=g:3242656
Navarskjeret	id=g:3242658
Hatlenipa	id=g:3242659
Sandholmen	id=g:3242660
Vestervågen	id=g:3242662
Karlsøyni	id=g:3242663
Skarvøyni	id=g:3242664
Lyngholmane	id=g:3242666
Ivarsbåen	id=g:3242667
Lepsøyni	id=g:3242669
Lyngmågøyni	id=g:3242670
Grøna Mågøyni	id=g:3242671
Gauteskjeret	id=g:3242673
Klovane	id=g:3242674
Nåli	id=g:3242675
Kjeholmen	id=g:3242676
Østre Slissøyni	id=g:3242677
Vestre Slissøyni	id=g:3242678
Nordøyskjeret	id=g:3242679
Grisholmskjeret	id=g:3242680
Grisholmen	id=g:3242681
Nordøyflua	id=g:3242682
Terneskjera	id=g:3242683
Mågøyosen	id=g:3242687
Litle Geitungen	id=g:3242689
Store Geitungen	id=g:3242690
Håflua	id=g:3242691
Sturvane	id=g:3242692
Høgbåen	id=g:3242693
Søndre Fallet	id=g:3242696
Nordre Fallet	id=g:3242697
Ribbeskjera	id=g:3242698
Meflua	id=g:3242699
Nordre Sverslingen	id=g:3242700
Søndre Sverslingen	id=g:3242701
Sverslingane	id=g:3242702
Gjøklakken	id=g:3242703
Ryggen	id=g:3242704
Grisholmsundet	id=g:3242705
Hellisøyni	id=g:3242706
Moldøyosen	id=g:3242707
Moldøyni	id=g:3242708
Fedje	id=g:3242709
Rongsvågen	id=g:3242710
Rongsneset	id=g:3242711
Sildevågen	id=g:3242713
Hovden	id=g:3242714
Hjeltevardneset	id=g:3242715
Gulenakken	id=g:3242716
Fedjebjørnen	id=g:3242717
Langøyflua	id=g:3242718
Tareflua	id=g:3242719
Æskjeret	id=g:3242720
Arset	id=g:3242721
Parisholmane	id=g:3242722
Itangen	id=g:3242723
Ørnhaugen	id=g:3242724
Torkjellstangen	id=g:3242725
Fløholmen	id=g:3242726
Skorpo	id=g:3242727
Isoen	id=g:3242728
Ypso	id=g:3242729
Lamholmen	id=g:3242730
Vardholmen	id=g:3242731
Storevågen	id=g:3242732
Fløholmen	id=g:3242733
Odden	id=g:3242734
Beitingflui	id=g:3242735
Grønhaugen	id=g:3242736
Vardneset	id=g:3242737
Leirholmen	id=g:3242738
Langaneset	id=g:3242739
Rosslandspollen	id=g:3242740
Vikebø	id=g:3242741
Mjølkeviki	id=g:3242742
Skurtveiteidet	id=g:3242743
Kipvikholmen	id=g:3242744
Kobbevågen	id=g:3242745
Veten	id=g:3242746
Rylandsvågen	id=g:3242749
Eikelandshaugen	id=g:3242769
Åsebø	id=g:3242771
Rylandsvatnet	id=g:3242773
Eikelandsvatnet	id=g:3242774
Beitingen	id=g:3242775
Rotviki	id=g:3242777
Ospeneset	id=g:3242778
Leirvik	id=g:3242780
Fløksand	id=g:3242783
Vollo	id=g:3242784
Erstad	id=g:3242789
Niso	id=g:3242791
Sørstøi	id=g:3242792
Brakstadfjellet	id=g:3242794
Laksaneset	id=g:3242795
Gardsendviki	id=g:3242796
Hjartåsstøi	id=g:3242797
Holmeknappen	id=g:3242798
Holme	id=g:3242799
Kjedalen	id=g:3242801
Kjerringbukta	id=g:3242802
Burkevellene	id=g:3242803
Dale	id=g:3242804
Dalevatnet	id=g:3242805
Sakstad	id=g:3242806
Porshaugen	id=g:3242807
Mjåtveit	id=g:3242809
Mjåtveitstøi	id=g:3242810
Galteneset	id=g:3242812
Kråkeneset	id=g:3242813
Vikane	id=g:3242814
Løypetåni	id=g:3242815
Fosse	id=g:3242819
Krossnessundet	id=g:3242821
Krossneset	id=g:3242822
Laksaneset	id=g:3242826
Flatøy	id=g:3242827
Gudmundsholmen	id=g:3242828
Lensmannsholmen	id=g:3242829
Flatøyosen	id=g:3242830
Lensmannsflui	id=g:3242831
Langaneset	id=g:3242832
Håøyni	id=g:3242833
Fredheim	id=g:3242839
Krossfjellet	id=g:3242841
Ospholmen	id=g:3242842
Ospholmflui	id=g:3242843
Kvernaflui	id=g:3242844
Bjørnestad	id=g:3242847
Grasdalsvatnet	id=g:3242848
Grasdalstjørnet	id=g:3242849
Hestdal	id=g:3242850
Hestnes	id=g:3242851
Skarpeneset	id=g:3242853
Espetveitvatnet	id=g:3242857
Furskjegget	id=g:3242858
Gaustad	id=g:3242859
Myrtveit	id=g:3242860
Sjurdal	id=g:3242861
Gripen	id=g:3242863
Hestnesvatnet	id=g:3242864
Gaustadvatnet	id=g:3242865
Gaustadfjellet	id=g:3242866
Bjørndalsvatnet	id=g:3242867
Vardneset	id=g:3242883
Store Langøyni	id=g:3242884
Ådlandsvågen	id=g:3242885
Revskard	id=g:3242886
Sæbøholmane	id=g:3242887
Ripleviki	id=g:3242888
Gåseviki	id=g:3242889
Indre Kylpa	id=g:3242890
Ytre Kylpa	id=g:3242891
Havrøyvågen	id=g:3242892
Havrøyni	id=g:3242893
Småstraumen	id=g:3242895
Vågsmunnskjeri	id=g:3242897
Geitnesflui	id=g:3242899
Landsvikosen	id=g:3242900
Søre Bongnetangen	id=g:3242901
Øytangen	id=g:3242902
Bongno	id=g:3242903
Bongnestraumen	id=g:3242904
