Oknoname 037048 Reservoir	id=g:4544855
Oknoname 037049 Dam	id=g:4544856
Oknoname 037049 Reservoir	id=g:4544857
Oknoname 037050 Dam	id=g:4544858
Oknoname 037050 Reservoir	id=g:4544859
Oknoname 037051 Dam	id=g:4544860
Oknoname 037051 Reservoir	id=g:4544861
Oknoname 037052 Dam	id=g:4544862
Oknoname 037052 Reservoir	id=g:4544863
Oknoname 037053 Dam	id=g:4544864
Oknoname 037053 Reservoir	id=g:4544865
Oknoname 037054 Dam	id=g:4544866
Oknoname 037054 Reservoir	id=g:4544867
Oknoname 037055 Dam	id=g:4544868
Oknoname 037055 Reservoir	id=g:4544869
Oknoname 037056 Dam	id=g:4544870
Oknoname 037056 Reservoir	id=g:4544871
Oknoname 037057 Dam	id=g:4544872
Oknoname 037057 Reservoir	id=g:4544873
Oknoname 037058 Dam	id=g:4544874
Oknoname 037058 Reservoir	id=g:4544875
Oknoname 037059 Dam	id=g:4544876
Oknoname 037059 Reservoir	id=g:4544877
Oknoname 037060 Dam	id=g:4544878
Oknoname 037060 Reservoir	id=g:4544879
Oknoname 037061 Dam	id=g:4544880
Oknoname 037061 Reservoir	id=g:4544881
Oknoname 037062 Dam	id=g:4544882
Oknoname 037062 Reservoir	id=g:4544883
Oknoname 037063 Dam	id=g:4544884
Oknoname 037063 Reservoir	id=g:4544885
Oknoname 037064 Dam	id=g:4544886
Oknoname 037064 Reservoir	id=g:4544887
Oknoname 037065 Dam	id=g:4544888
Oknoname 037065 Reservoir	id=g:4544889
