Te Ruamoku Stream	id=g:6234482
Ngaroto Stream	id=g:6234483
Matawhero Stream	id=g:6234484
Motutara Stream	id=g:6234485
Okaihae Stream	id=g:6234486
Paroparowhero Stream	id=g:6234487
Pongahuru Stream	id=g:6234488
Te Akakaiae Stream	id=g:6234489
Paritea	id=g:6234490
Hohotaka	id=g:6234491
Te Awakauae Stream	id=g:6234492
Pokongaruru Stream	id=g:6234493
Towhenua Stream	id=g:6234494
Mangakahikatoa Stream	id=g:6234495
Rangaroa Stream	id=g:6234496
Ngakonui Stream	id=g:6234497
Matahanea Stream	id=g:6234498
Tunakotekote Stream	id=g:6234499
Waiwherowhero Stream	id=g:6234500
Taringamotu River	id=g:6234501
Ngapuke Stream	id=g:6234502
Okauriki Stream	id=g:6234503
Parakoko Stream	id=g:6234504
Waiwherowhero Stream	id=g:6234505
Waiongaonga Stream	id=g:6234506
Whahakaua Stream	id=g:6234507
Pungapunga River	id=g:6234508
Waituhi Stream	id=g:6234509
Ngamahangatiwaiwaka Stream	id=g:6234510
Hauwai Stream	id=g:6234511
Tunawaharoa Stream	id=g:6234512
Whangapuroto Stream	id=g:6234513
Mangarautawhiri Stream	id=g:6234514
Purakaumaranga Stream	id=g:6234515
Pokaka Stream	id=g:6234516
Kahueomanu Stream	id=g:6234517
Taringapupu Stream	id=g:6234518
Herungaweka Stream	id=g:6234519
Paewaru Stream	id=g:6234520
Mangakara Stream	id=g:6234521
Waipari Stream	id=g:6234522
Waione Stream	id=g:6234523
Te Angaanga	id=g:6234524
Waikaka	id=g:6234525
Birch	id=g:6234526
Mangapapa	id=g:6234527
Otangiwai	id=g:6234528
Mangatupoto Stream	id=g:6234529
Mangatupoto	id=g:6234530
Waihuka	id=g:6234531
Ongarue	id=g:6234532
Puketui	id=g:6234533
Pourua	id=g:6234534
PUREORA FOREST	id=g:6234535
Tuhua	id=g:6234536
Matiere	id=g:6234537
Nest	id=g:6234538
Puketawai	id=g:6234539
Timi	id=g:6234540
Te Tawa	id=g:6234541
NIHONIHO FOREST	id=g:6234542
Tiro	id=g:6234543
Opotiki	id=g:6234544
Mount Pleasant	id=g:6234545
Okahukura	id=g:6234546
Te Koura	id=g:6234547
Hikurangi	id=g:6234548
Taorua Stream	id=g:6234549
Opetea Stream	id=g:6234550
Karangaiti	id=g:6234551
Tuhua	id=g:6234552
Motere	id=g:6234553
Parapara	id=g:6234554
Ara	id=g:6234555
Mahoe	id=g:6234556
Okaihae	id=g:6234557
Moe	id=g:6234558
Taringamotu	id=g:6234559
Taumarunui Aerodrome	id=g:6234560
Ngakonui	id=g:6234561
Taringamotu Valley	id=g:6234562
Waitangi	id=g:6234563
Picket Ridge	id=g:6234564
Meringa Farms	id=g:6234565
Oruaiwi	id=g:6234566
Meringa	id=g:6234567
Ngapuketurua	id=g:6234568
Ngapuke	id=g:6234569
Pokurukuru Stream	id=g:6234570
Pungapunga River	id=g:6234571
Pungapunga	id=g:6234572
Tautotara	id=g:6234573
Komokoriki	id=g:6234574
Ngararahuarau Stream	id=g:6234575
Piriaka	id=g:6234576
Manunui	id=g:6234577
Mayfield	id=g:6234578
Tunakotekote	id=g:6234579
Tututotara	id=g:6234580
Taumaruiti	id=g:6234581
Taumarunui	id=g:6234582
Whanganui River	id=g:6234583
Sunshine Settlement	id=g:6234584
Echolands	id=g:6234585
Skyline	id=g:6234586
Valley View	id=g:6234587
Waitapu Stream	id=g:6234588
Herlihy Bluff	id=g:6234589
Valley Orchard	id=g:6234590
Te Whakarae	id=g:6234591
Rangiriri	id=g:6234592
Tuhua Domain	id=g:6234593
Lairdvale	id=g:6234594
Meremere Stream	id=g:6234595
Meremere	id=g:6234596
Otunui	id=g:6234597
Aukopae	id=g:6234598
Takurangi	id=g:6234599
Ongarue River	id=g:6234600
Mangakahu Valley	id=g:6234601
Otataka Stream	id=g:6234602
Pukepoto	id=g:6234603
Te Aukopae Stream	id=g:6234604
Kaitoke Swamp	id=g:6234605
Kaitoke Creek	id=g:6234606
Schooner Bay	id=g:6234607
Shoal Bay	id=g:6234608
Ross Bay	id=g:6234609
Cecilia Sudden Bay	id=g:6234610
Sandy Bay	id=g:6234611
Picnic Bay	id=g:6234612
