Cerro Toma Cruz	id=g:6675234
Cerro Palomojirca	id=g:6675235
Cerro Berrete	id=g:6675236
Cerro Ururupay	id=g:6675237
Cerro Torrejirca	id=g:6675238
Cerro Verdecocha	id=g:6675239
Cerro Gagamachay	id=g:6675240
Cerro Shiriash	id=g:6675241
Cerro Huishcash o Huiñac	id=g:6675242
Cerro Celmin Ushno	id=g:6675243
Cerro Jenhuajirca	id=g:6675244
Cerro Antarraga	id=g:6675245
Cerro Puma Huain	id=g:6675246
Cerro Rauro	id=g:6675247
Cerro Librón	id=g:6675248
Cerro Paucar	id=g:6675249
Cerro Purush	id=g:6675250
Cerro Yanagaga	id=g:6675251
Cerro Lluchu Upianan	id=g:6675252
Cerro Jallan	id=g:6675253
Cerro Negrito	id=g:6675254
Cerro Amarumi	id=g:6675255
Cerro Yaja Huillapan	id=g:6675256
Cerro San Cristobal	id=g:6675257
Cerro Allicuyoc Punta	id=g:6675258
Cerro Yanamachay	id=g:6675259
Cerro Jarhuarajo Grande	id=g:6675260
Cerro Jarhuarajo	id=g:6675261
Cerro Torre Punta	id=g:6675262
Cerro Capillayoc	id=g:6675263
Cerro Jatun Palma	id=g:6675264
Cerro Huiscara Punta	id=g:6675265
Cerro Atocshaico	id=g:6675266
Cerro Chaupijirca	id=g:6675267
Cerro Tancuy	id=g:6675268
Cerro Tecllo Punta	id=g:6675269
Cerro Hachacayhuagra	id=g:6675270
Cerro Pincuyo	id=g:6675271
Cerro Masapata	id=g:6675272
Cerro Huinac	id=g:6675273
Cerro Yanashala	id=g:6675274
Cerro Allgay Huachanan	id=g:6675275
Cerro Susupillo	id=g:6675276
Cerro Auquijelio	id=g:6675277
Cerro Jatun Cancha	id=g:6675278
Cerro Huishga Punta	id=g:6675279
Cerro Matadera	id=g:6675280
Cerro Huallgash	id=g:6675281
Cerro Dondo Huain	id=g:6675282
Cerro Huaca Rumipunta	id=g:6675283
Cerro Maman Punta	id=g:6675284
Cerro Palma Punta	id=g:6675285
Cerro Guitarra Punta	id=g:6675286
Cerro Millpuyoc	id=g:6675289
Cerro Atash	id=g:6675290
Cerro Ushno	id=g:6675291
Cerro Auquicallash	id=g:6675292
Cerro Llococ Huarauya	id=g:6675293
Cerro Huallacancha	id=g:6675294
Cerro Torre Huaganga	id=g:6675295
Cerro Huirush	id=g:6675296
Cerro Tactamachay	id=g:6675297
Cerro Ulluymijirca	id=g:6675298
Cerro Yachis	id=g:6675299
Cerro Tumacjirca	id=g:6675300
Cerro Hualay	id=g:6675301
Cerro Huauguish	id=g:6675302
Cerro Auqui	id=g:6675303
Cerro Paracsha	id=g:6675304
Cerro Taya	id=g:6675305
Cerro Cordillera Negra	id=g:6675306
Cerro Tumpishpata	id=g:6675307
Cerro Tucutanan	id=g:6675308
Cerro Puertacholo	id=g:6675309
Cerro Condorcocha	id=g:6675310
Cerro Pozuyoc	id=g:6675311
Cerro Sogocucho Punta	id=g:6675312
Cerro Millpo	id=g:6675313
Cerro Segosh	id=g:6675314
Cerro Botija Rumi	id=g:6675315
Cerro Tomasjirca	id=g:6675316
Loma Tunas Patac	id=g:6675317
Loma Shashay	id=g:6675318
Loma Hichihuilca	id=g:6675319
Loma Mancachallou	id=g:6675320
Loma Jachuna	id=g:6675321
Cerro Chilía	id=g:6675322
Cerro Saquicocha Punta	id=g:6675323
Cerro Ruricocha	id=g:6675324
Cerro Pirushto Punta	id=g:6675325
Cerro Huactash	id=g:6675326
Cerro Magra	id=g:6675327
Cerro Ocoto	id=g:6675328
Cerro Ocpay	id=g:6675329
