Sangch’ŏngso	id=g:6882836
Kuryong-mal	id=g:6882837
Kyeryongsan-gungnipkongwŏn	id=g:6882838
Manhak-kol	id=g:6882839
Komokchŏng	id=g:6882840
Samgŏ-ri	id=g:6882841
Witchang	id=g:6882842
Yusan	id=g:6882843
Kap-kol	id=g:6882844
Nŏlt’i	id=g:6882845
Kyeryong-myŏn	id=g:6882846
Sang-ni	id=g:6882847
Sinbong	id=g:6882848
Pongmyŏng-ni	id=g:6882849
Wŏnbaryang	id=g:6882850
Sujak-kol	id=g:6882851
Pŏm-mal	id=g:6882852
Wittaesil	id=g:6882853
Chukkong-ni	id=g:6882854
Saet’ŏ-mal	id=g:6882855
Yup’yŏng-ni	id=g:6882856
Pŏdŭlmi	id=g:6882857
Sin’gok	id=g:6882858
Sangmun	id=g:6882859
Pyŏksa-dong	id=g:6882860
Kambawi	id=g:6882861
Hadae-ri	id=g:6882862
Sŏdang-gol	id=g:6882863
Pangada-ri	id=g:6882864
Chungjang-ni	id=g:6882865
