Phumĭ Rŭmchék	id=g:1825273
Phumĭ Rumchék	id=g:1825274
Phumĭ Rumchék	id=g:1825275
Phumĭ Rôviĕng (2)	id=g:1825276
Phumĭ Rôviĕng Chuŏr	id=g:1825277
Phumĭ Rôviĕng Cheung	id=g:1825278
Phumĭ Rôviĕng	id=g:1825279
Phumĭ Rôviĕng	id=g:1825280
Phumĭ Rôviĕng	id=g:1825281
Phumĭ Rôviĕng	id=g:1825282
Phumĭ Rôviĕng	id=g:1825283
Phumĭ Rôviĕng	id=g:1825284
Phumĭ Rôviĕng	id=g:1825285
Phumĭ Rôviĕng	id=g:1825286
Phumĭ Rôviĕng	id=g:1825287
Phumĭ Rôvé Kraôm	id=g:1825288
Phumĭ Roŭ (2)	id=g:1825289
Phumĭ Roŭ (1)	id=g:1825290
Phumĭ Roŭt	id=g:1825291
Phumĭ Roŭng Vêng	id=g:1825292
Phumĭ Roŭng Koŭ Daeum	id=g:1825293
Phumĭ Roŭng Koŭ	id=g:1825294
Phumĭ Roŭng Koŭ	id=g:1825295
Phumĭ Roŭng Koŭ	id=g:1825296
Phumĭ Roŭng Dâmrei	id=g:1825297
Phumĭ Roŭng Dâmrei	id=g:1825298
Phumĭ Roŭng	id=g:1825299
Phumĭ Roŭk Khang Tbong	id=g:1825300
Phumĭ Rôtéh Méas	id=g:1825301
Phumĭ Rôpeăk	id=g:1825302
Phumĭ Rônteăh	id=g:1825303
Phumĭ Rônhéa	id=g:1825304
Phumĭ Rông Viĕn	id=g:1825305
Phumĭ Rônéam Tnaôt	id=g:1825306
Phumĭ Rônéam	id=g:1825307
Phumĭ Rônéam	id=g:1825308
Phumĭ Rônéam	id=g:1825309
Phumĭ Rômŭnh	id=g:1825310
Phumĭ Rômôn	id=g:1825311
Phumĭ Rômiĕt	id=g:1825312
Phumĭ Rômiĕt	id=g:1825313
Phumĭ Rôménh	id=g:1825314
Phumĭ Rôméas Ngoăb	id=g:1825315
Phumĭ Rôméas Chol	id=g:1825316
