Bago Bota	id=g:342895
Bagiagiar	id=g:342896
Bagī	id=g:342897
Baghilti	id=g:342898
Baghilti	id=g:342899
Bagela	id=g:342902
Bagē	id=g:342903
Bagayo	id=g:342904
Bagaga	id=g:342906
Bagado	id=g:342907
Bagab	id=g:342908
Bafīt’at Bota	id=g:342909
Bafa	id=g:342910
Badu Shet’	id=g:342911
Badus	id=g:342912
Baduein	id=g:342913
Bado	id=g:342914
Badnib	id=g:342915
Badma Shet’	id=g:342916
Badma Mēda	id=g:342917
Badjiro	id=g:342918
Badira	id=g:342919
Badinia	id=g:342920
Badierci	id=g:342921
Badica	id=g:342923
Badiah	id=g:342924
Badhu	id=g:342925
Baddesa	id=g:342928
Badda Ummo	id=g:342929
Badda Rogghie	id=g:342930
Badda Ale	id=g:342931
Badattino	id=g:342934
Badale	id=g:342935
Bada	id=g:342936
Baco	id=g:342937
Bacilcia	id=g:342938
Bachuma	id=g:342939
Bachita	id=g:342940
Bachili	id=g:342941
Bach’ila	id=g:342942
Bach’ē Regreg	id=g:342943
Bacher	id=g:342944
Bachefarda	id=g:342945
Bacassar	id=g:342946
Bacara	id=g:342947
Bacamoti	id=g:342948
Bacai	id=g:342949
Baburoto	id=g:342951
Babu	id=g:342952
Babu	id=g:342953
Babo YeTerara Senselet	id=g:342954
Babo Terara	id=g:342955
Babo Terara	id=g:342956
Babo Shet’	id=g:342957
Babor	id=g:342958
Babok’al	id=g:342959
Babochī	id=g:342960
Babo	id=g:342961
Babo	id=g:342962
Babo	id=g:342963
Babīlē	id=g:342964
Babīlē	id=g:342965
Babīlē	id=g:342966
Babich	id=g:342967
Babat	id=g:342968
Baba	id=g:342971
Ba’atī	id=g:342972
Baalale	id=g:342974
Baadlei	id=g:342975
Āzurīt	id=g:342977
Āzulē Shet’	id=g:342978
Āzoho	id=g:342979
Āznan	id=g:342980
Āznan	id=g:342981
Āzmazgē	id=g:342982
Āzmach Reda’i Mīka’ēl Bēte Kristīyan	id=g:342986
Āzma	id=g:342987
Āzho	id=g:342988
Āzezo	id=g:342989
Āzezo	id=g:342990
Āzezo	id=g:342991
Āzezo	id=g:342992
Āzet	id=g:342993
Āzer	id=g:342994
Azer	id=g:342995
Āzena Bota	id=g:342996
Āzena	id=g:342997
Āzeba Medhanē ‘Alem Bēte Kristīyan	id=g:342998
Āzeba	id=g:342999
Azazera	id=g:343000
Āzayē	id=g:343002
Āzany Minch’	id=g:343003
Azama	id=g:343004
Azafi	id=g:343007
Āzaf	id=g:343008
Āyzosh Āmora	id=g:343009
Āywetu Gīyorgīs Bēte Kristīyan	id=g:343010
Āywetu	id=g:343011
Āywera	id=g:343012
Āyuwēnī	id=g:343013
Āyu	id=g:343014
Āytony	id=g:343015
Āyt’ala	id=g:343016
Āysha	id=g:343017
Āyserawim Shet’	id=g:343018
Āyror Shet’	id=g:343019
Āyror Hāyk’	id=g:343020
Āyrara Wenz	id=g:343023
Āyra Jermen Mīsīyon Āndenya na Huletenya Dereja Timhirt Bēt	id=g:343024
Āyra	id=g:343025
Āyra	id=g:343026
Āyoha	id=g:343027
‘Aynu	id=g:343028
‘Aynī Shet’	id=g:343029
Āynī Shet’	id=g:343030
‘Ayne Dīb Shet’	id=g:343032
‘Ayne Dīb Bota	id=g:343033
‘Ayn ‘Alem	id=g:343034
‘Ayn Āla Shet’	id=g:343035
‘Ayna	id=g:343036
Āymetir	id=g:343037
Āymero Bota	id=g:343038
Āyla Bota	id=g:343046
Āyk’olba	id=g:343048
Āykel	id=g:343050
Āykel	id=g:343051
Āyka Bota	id=g:343052
Āyit’ Wiha Shet’	id=g:343053
Āyit Gora	id=g:343054
Āyit	id=g:343055
Āyin Āmba Gīyorgīs Bēte Kristīyan	id=g:343056
Āyib Be’ink’ib	id=g:343057
Āyī	id=g:343058
Āygoba Hāwaryat Bēte Kristīyan	id=g:343059
Āyfelah	id=g:343060
Āyer Shet’	id=g:343061
Āyer	id=g:343062
Āyer	id=g:343063
Āyer	id=g:343064
Āyelu Terara	id=g:343065
Āyelē Gebeya	id=g:343066
Āyēda	id=g:343067
Āyēbet’al Wenz	id=g:343068
Āydora Mesgīd	id=g:343069
Āydora	id=g:343070
Āydora	id=g:343071
Āybga	id=g:343072
Āybga	id=g:343073
Āybera Terara	id=g:343074
Āyba Kīdane Mihret Bēte Kristīyan	id=g:343075
Āyba Ābune Gebre Menfes K’idus Bēte Kristīyan	id=g:343076
Āyba	id=g:343077
Āyat Maryam Bēte Kristīyan	id=g:343078
Āyat	id=g:343079
Āya Shet’	id=g:343080
Āyana	id=g:343081
Āyalē	id=g:343082
Ayadega	id=g:343083
Ayadega	id=g:343084
Āwzina Shet’	id=g:343085
Āwzēna	id=g:343086
Āwudo	id=g:343087
Āwuberē	id=g:343088
Āwu Berē	id=g:343089
Āwu Belē Bota	id=g:343090
Āwsa Shet’	id=g:343091
Āwsa Āwraja	id=g:343092
Āwrimo Terara	id=g:343093
Awrgodan	id=g:343094
Awrgodan	id=g:343095
Āwred Bota	id=g:343096
Āwra Shet’	id=g:343097
Āwra Bota	id=g:343098
Āwra	id=g:343099
Āwo Mīka’ēl Bēte Kristīyan	id=g:343100
Āwo	id=g:343101
Āwlowa	id=g:343102
Āwli’i Gara	id=g:343103
Āwka Kīdane Mihret Bēte Kristīyan	id=g:343105
Āwit Shet’	id=g:343106
Āwit	id=g:343107
Āwirt	id=g:343108
Āwira Wenz	id=g:343109
Āwik’ushla	id=g:343110
Āwi’āro	id=g:343111
Āwetē	id=g:343112
Āwerī	id=g:343113
Āwelī	id=g:343114
Āweday	id=g:343115
Āwe’āl Tire YeWiha Gudgwad	id=g:343116
Āwben	id=g:343117
Āwaza Maryam Bēte Kristīyan	id=g:343118
Āwayē	id=g:343119
Awau	id=g:343120
Āwat’a Shet’	id=g:343121
Āwata Bota	id=g:343122
Āwaso	id=g:343123
Āwasī	id=g:343124
Āwash Wenz	id=g:343125
Āwasho Bota	id=g:343126
Āwashī	id=g:343127
Āwash Hāyk’	id=g:343128
Āwa Shet’	id=g:343129
Āwash Bota	id=g:343130
Āwash Bihērawī Kilil	id=g:343131
Āwash	id=g:343134
Āwash	id=g:343135
Āwasa Hāyk’	id=g:343136
Āwasa	id=g:343137
Āwaru	id=g:343138
Āwarsa Shet’	id=g:343139
Āwariya	id=g:343140
Āwarē Wenz	id=g:343141
Āwarē Shet’	id=g:343142
Āwarē	id=g:343143
Āwara Melka YeAtkilt Bota	id=g:343144
Āwara	id=g:343145
Āwara	id=g:343146
Āwal Guba	id=g:343147
Āwala Batē	id=g:343148
Āwagir Mīka’ēl Bēte Kristīyan	id=g:343149
Āwagir	id=g:343150
Āwagir	id=g:343151
Āwabīb Shet’	id=g:343152
Availa	id=g:343153
Ava	id=g:343154
Aussa	id=g:343155
Ausa Jesus	id=g:343156
Ausa	id=g:343157
Amba Auria Azen	id=g:343158
Aurali	id=g:343159
Aulida	id=g:343161
Auisi	id=g:343164
Aufeitale	id=g:343166
Audo Range	id=g:343167
Audamboi	id=g:343168
Au Bube	id=g:343172
Āubar Shet’	id=g:343173
Au Barre	id=g:343174
Auatu	id=g:343175
