Mount Herbert	id=g:6242141
Winter Creek	id=g:6242142
SCARLETT RANGE	id=g:6242143
Mount Kendall	id=g:6242144
KENDALL RIDGE	id=g:6242145
HERBERT RANGE	id=g:6242146
LUNA RIDGE	id=g:6242147
Thor Hut	id=g:6242148
Venus Hut	id=g:6242149
Crow Hut	id=g:6242150
Mount Olive	id=g:6242151
Mount Star	id=g:6242152
Mount Sodom	id=g:6242153
Mount Baldy	id=g:6242154
Mount Gomorrah	id=g:6242155
McCarthy Clearing	id=g:6242156
COWIN SPUR	id=g:6242157
Moran Creek	id=g:6242158
Cowins Track	id=g:6242159
Flanagans Hut	id=g:6242160
Loveridge Peak	id=g:6242161
Loveridge Hut	id=g:6242162
PADDY RIDGE	id=g:6242163
The Twins	id=g:6242164
Ellis Basin Hut	id=g:6242165
PEARSE RIDGE	id=g:6242166
Barron Bold	id=g:6242167
Price Clearing	id=g:6242168
Hicky Clearing	id=g:6242169
Camel Back	id=g:6242170
Sugar Loaf	id=g:6242171
Naylor Creek	id=g:6242172
Baton Saddle	id=g:6242173
Thomson Hill	id=g:6242174
Caves Creek	id=g:6242175
Blue Rock	id=g:6242176
Maori Gully	id=g:6242177
GRINDLEY RIDGE	id=g:6242178
MARSHALL RANGE	id=g:6242180
GRANGE RIDGE	id=g:6242181
Roaring Lion Hut	id=g:6242182
KAKAPO SPUR	id=g:6242183
KAKAPO SPUR	id=g:6242184
KIMBELL SPUR	id=g:6242185
Sandy Peak	id=g:6242186
Karamea Bend	id=g:6242187
Karamea Bend Hut	id=g:6242188
Splugeons Rock	id=g:6242189
Cundy Creek	id=g:6242190
Tableland	id=g:6242191
Salisbury Lodge	id=g:6242192
STARVATION RIDGE	id=g:6242193
Gordons Pyramid	id=g:6242194
Hough Saddle	id=g:6242195
Leslie Track	id=g:6242196
PYRAMID RIDGE	id=g:6242197
Winter Peak	id=g:6242198
Mount Arthur	id=g:6242199
Horseshoe Basin	id=g:6242200
Mount Arthur Hut	id=g:6242201
Flora Hut	id=g:6242202
Lodestone	id=g:6242203
Mount Hodder	id=g:6242204
Heath Creek	id=g:6242205
Peat Valley	id=g:6242206
Myttons Hut	id=g:6242207
Trilobite Hut	id=g:6242208
Mount Mytton	id=g:6242209
Mount Brilliant	id=g:6242210
Black Lakes	id=g:6242211
Mount Peel	id=g:6242212
PEEL RANGE	id=g:6242213
Balloon Hut	id=g:6242214
Balloon Hill	id=g:6242215
Kiwi	id=g:6242216
Bay Creek	id=g:6242217
Matiri River	id=g:6242218
Bull Creek	id=g:6242219
Larrikin Creek	id=g:6242220
Haystack Creek	id=g:6242221
Matiri River	id=g:6242222
Lake Jeanette	id=g:6242223
North Branch Mokihinui River	id=g:6242224
Allen River Right Branch	id=g:6242225
Allen River Left Branch	id=g:6242226
Pannikin Creek	id=g:6242227
Herbert Creek	id=g:6242228
Meteor Creek	id=g:6242229
Waters Creek	id=g:6242230
Luna Lake	id=g:6242231
Luna Stream	id=g:6242232
Robson Stream	id=g:6242233
West Branch Johnston Creek	id=g:6242234
East Branch Johnston Creek	id=g:6242235
Baigent Creek	id=g:6242236
Frying Pan Creek	id=g:6242237
Fyfe River	id=g:6242238
Fire Creek	id=g:6242239
Carrol Creek	id=g:6242240
Halfway Creek	id=g:6242241
Coal Creek	id=g:6242242
Bulmer Creek	id=g:6242243
Deep Creek	id=g:6242244
Spring Creek	id=g:6242245
Owen River	id=g:6242246
League Creek	id=g:6242247
Caledonian Creek	id=g:6242248
Uno Creek	id=g:6242249
Advance Creek	id=g:6242250
Zealandia Creek	id=g:6242251
Carton Creek	id=g:6242252
Nuggety Creek	id=g:6242253
Prince Creek	id=g:6242254
Patience Creek	id=g:6242255
Slaty Creek	id=g:6242256
Patriarch Creek	id=g:6242257
Taylor Stream	id=g:6242258
Prices Creek	id=g:6242259
Chandler Creek	id=g:6242260
Wangapeka River	id=g:6242261
Bushend Creek	id=g:6242262
Saltwater Creek	id=g:6242263
Orchard Creek	id=g:6242264
Biggs Creek	id=g:6242265
Harford Creek	id=g:6242266
Blue Mud Creek	id=g:6242267
Pancake Creek	id=g:6242268
Sailor Gully	id=g:6242269
Campbell Creek	id=g:6242270
Surprise Gully Stream	id=g:6242271
Sherry River	id=g:6242272
Tadmor River	id=g:6242273
One Speck Creek	id=g:6242274
Tin Kettle Creek	id=g:6242275
Winding Creek	id=g:6242276
Blake Creek	id=g:6242277
Bustin Creek	id=g:6242278
Granite Creek	id=g:6242279
Clark Creek	id=g:6242280
Epps Creek	id=g:6242281
Jemmy Creek	id=g:6242282
Cave Creek	id=g:6242283
Appletree Creek	id=g:6242284
Monday Creek	id=g:6242285
Stink Creek	id=g:6242286
Deception Creek	id=g:6242287
Sunday Creek	id=g:6242288
Left Branch Sherry River	id=g:6242289
Burmeister Stream	id=g:6242290
Gay Creek	id=g:6242291
Kiwi Creek	id=g:6242292
Dart River	id=g:6242293
Ellis Creek	id=g:6242294
Cave Stream	id=g:6242295
Gorge Creek	id=g:6242296
Cat Creek	id=g:6242297
Blair Athol Gully	id=g:6242298
Lamb Valley	id=g:6242299
Clark River	id=g:6242300
Clark Valley	id=g:6242301
Clark Knob	id=g:6242302
Glenhope	id=g:6242303
Kaka	id=g:6242304
Tadmor	id=g:6242305
Tadmor Saddle	id=g:6242306
Matariki	id=g:6242307
Battery Hill	id=g:6242308
Old Sow	id=g:6242309
Mount Jones	id=g:6242310
Devils Thumb	id=g:6242311
Gomorrah Track	id=g:6242312
John Reid Hut	id=g:6242313
Chummies Track	id=g:6242314
Gibbs Track	id=g:6242315
ARTHUR RANGE	id=g:6242316
Mount Patriarch	id=g:6242317
Kiwi Saddle Hut	id=g:6242318
Kiwi Saddle	id=g:6242319
Kiwi Track	id=g:6242320
Taylor Basin	id=g:6242321
Kinzett Tarn	id=g:6242322
Mount Luna	id=g:6242323
Stone Hut	id=g:6242324
Biggs Tops	id=g:6242325
Luna Hut	id=g:6242326
Trevor Carter Hut	id=g:6242327
Lost Valley Creek	id=g:6242328
Saxon Falls	id=g:6242329
Luna Slips	id=g:6242330
Helicopter Flat Hut	id=g:6242331
Mount Dean	id=g:6242332
Mount Allen	id=g:6242333
Mount Joyce	id=g:6242334
Taipo Hut	id=g:6242335
Wangapeka Track	id=g:6242336
ALLEN RANGE	id=g:6242337
Nugget Knob	id=g:6242338
North Branch Wangapeka River	id=g:6242339
