Kedungbunder	id=g:6792190
Polepanjang	id=g:6792191
Sajimerto	id=g:6792192
Sambiroto	id=g:6792193
Bank Tabungan Negara Sambiroto	id=g:6792194
Desa Salit	id=g:6792195
Salit	id=g:6792196
Cokrah	id=g:6792197
Kali Ares	id=g:6792198
Kali Salit	id=g:6792199
Sangkanjaya Dua	id=g:6792200
Sangkanjaya Satu	id=g:6792201
Sangkanjaya Tiga	id=g:6792202
Desa Sangkanjaya	id=g:6792203
Grogak	id=g:6792204
Kali Poncong	id=g:6792205
Pagentan	id=g:6792206
Tengah	id=g:6792207
Kabunan	id=g:6792208
Gutoko	id=g:6792209
Bendan	id=g:6792210
Desa Kebonagung	id=g:6792211
Pejaten	id=g:6792212
Bandungan Kulon	id=g:6792213
Desa Kajen	id=g:6792214
Watuhelah	id=g:6792215
Sengon	id=g:6792216
Kali Kajongan	id=g:6792217
Bandungan Wetan	id=g:6792218
Kali Kajen	id=g:6792219
Luwuk	id=g:6792220
Kembon	id=g:6792221
Pekiringan	id=g:6792222
Desa Pekiringanalit	id=g:6792223
Kajen Kidul	id=g:6792224
Sekarum Utara	id=g:6792225
Sekarum Selatan	id=g:6792226
Karagan Utara	id=g:6792227
Buaran Utara	id=g:6792228
Bandar Selatan	id=g:6792229
Buaran Selatan	id=g:6792230
Karagan Selatan	id=g:6792231
Kali Bandar	id=g:6792232
Kali Lemberang	id=g:6792233
Bojonglarang	id=g:6792234
Sadang	id=g:6792235
Simendem	id=g:6792236
Gardu	id=g:6792237
Winong	id=g:6792238
Desa Gejlig	id=g:6792239
Gumiwang	id=g:6792240
Gejlig	id=g:6792241
Cokrah	id=g:6792242
Kali Gejlig	id=g:6792243
Subak	id=g:6792244
Sumurbandung	id=g:6792245
Sibedug	id=g:6792246
Tambor	id=g:6792247
Sidokerti	id=g:6792248
Desa Nyamok	id=g:6792249
Nyamok	id=g:6792250
Nambangan	id=g:6792251
Kawedanan	id=g:6792252
Desa Sinangohprendeng	id=g:6792253
Sinangoh	id=g:6792254
Kemloko	id=g:6792255
Prendengan	id=g:6792256
Kali Siwedus	id=g:6792257
Desa Kajongan	id=g:6792258
Krajan	id=g:6792259
Kajongan	id=g:6792260
Dukuh	id=g:6792261
Gembungan	id=g:6792262
Kali Jampangan	id=g:6792263
Desa Pekiringanageng	id=g:6792264
Tegalrejo	id=g:6792265
Gembung	id=g:6792266
Pamutih	id=g:6792267
Podoroto	id=g:6792268
Desa Linggoasri	id=g:6792269
Yosorejo	id=g:6792270
Rejosari	id=g:6792271
Tenogo	id=g:6792272
Doplang Timur	id=g:6792273
Doplang Barat	id=g:6792274
Krajan	id=g:6792275
Juono	id=g:6792276
Serangguling	id=g:6792277
Serangasem	id=g:6792278
Serangkantung	id=g:6792279
Desa Tanjungsari	id=g:6792280
Tengah	id=g:6792281
Serang Wetan	id=g:6792282
Serang Kidul	id=g:6792283
Tanjungsari	id=g:6792284
Jaed	id=g:6792285
Desa Banjarejo	id=g:6792286
Randutawang	id=g:6792287
Klingian	id=g:6792288
Karangtuang	id=g:6792289
Tanjunganom	id=g:6792290
Tanjung	id=g:6792291
Cokrah	id=g:6792292
Desa Tanjungkulon	id=g:6792293
Desa Kulu	id=g:6792294
Balong	id=g:6792295
Kaum	id=g:6792296
Jetis	id=g:6792297
Kali Godeg	id=g:6792298
Kulu Timur	id=g:6792299
Kemranggon	id=g:6792300
Krajan	id=g:6792301
Kali Tengah	id=g:6792302
Kembang	id=g:6792303
Gumingsir	id=g:6792304
Dawuhan	id=g:6792305
Desa Sukoyoso	id=g:6792306
Pringsurat	id=g:6792307
Utomo	id=g:6792308
Kali Sukoyoso	id=g:6792309
Desa Pringsurat	id=g:6792310
Jampangan	id=g:6792311
Kali Jemono	id=g:6792312
Igir Mrica	id=g:6792313
Kali Sibedil	id=g:6792314
Brengkolang	id=g:6792315
Desa Brengkolang	id=g:6792316
Igir Moyanan	id=g:6792317
Sidasukmo	id=g:6792318
Sidaguno	id=g:6792319
Desa Gutomo	id=g:6792320
Singkreng	id=g:6792321
Widari	id=g:6792322
Sidomulyo	id=g:6792323
Glocon Barat	id=g:6792324
Clapar	id=g:6792325
Limbangan	id=g:6792326
Krandon	id=g:6792327
Cokrah	id=g:6792328
Karanggondang	id=g:6792329
Kebonsari	id=g:6792330
Mlaten Satu	id=g:6792331
Mlaten Tiga	id=g:6792332
Mlaten Dua	id=g:6792333
Desa Karangsari	id=g:6792334
Banjarsari	id=g:6792335
Kabupaten Pekalongan	id=g:6792336
Jurangmangu	id=g:6792337
Sidomukti Timur	id=g:6792338
Glocon Kidul	id=g:6792339
Sidomukti Tengah	id=g:6792340
Desa Lambur	id=g:6792341
Desa Wonorejo	id=g:6792342
Desa Karangrejo	id=g:6792343
Desa Limbangan	id=g:6792344
Desa Sidomukti	id=g:6792345
Desa Wonosari	id=g:6792346
Bandar Utara	id=g:6792347
Kecamatan Reban	id=g:6792357
Kecamatan Plantungan	id=g:6792358
Kecamatan Tersono	id=g:6792359
Desa Menjangan	id=g:6792360
Desa Karangtengah	id=g:6792361
Desa Gumawang	id=g:6792362
Desa Keniten	id=g:6792363
Desa Wonokerso	id=g:6792364
Desa Wonosobo	id=g:6792365
Desa Sojomerto	id=g:6792366
Desa Polodoro	id=g:6792367
Desa Karanganyar	id=g:6792368
Desa Padomasan	id=g:6792369
Desa Kumesu	id=g:6792370
Desa Kepundung	id=g:6792371
Desa Tambakboyo	id=g:6792372
Desa Adinuso	id=g:6792373
Desa Surjo	id=g:6792374
Desa Cablikan	id=g:6792375
Desa Sidoharjo	id=g:6792376
Desa Mojotengah	id=g:6792377
Desa Kepuh	id=g:6792378
Desa Kalisalak	id=g:6792379
Desa Limpung	id=g:6792380
Desa Sidomulyo	id=g:6792381
Desa Donorejo	id=g:6792382
Desa Tembok	id=g:6792383
Desa Sukomangli	id=g:6792384
Desa Lobang	id=g:6792385
Desa Kalisari	id=g:6792386
Desa Sibebek	id=g:6792387
Desa Getas	id=g:6792388
Desa Soka	id=g:6792389
Desa Bawang	id=g:6792390
Desa Pangempon	id=g:6792391
Desa Candigugur	id=g:6792392
Desa Deles	id=g:6792393
Desa Gunungsari	id=g:6792394
Desa Sempu	id=g:6792395
Desa Dlisen	id=g:6792396
Desa Babadan	id=g:6792397
Desa Amongrogo	id=g:6792398
Desa Plumbon	id=g:6792399
Desa Sukorejo	id=g:6792400
Desa Ngaliyan	id=g:6792401
Desa Sendang	id=g:6792402
Desa Gondo	id=g:6792403
Desa Banteng	id=g:6792404
Desa Purbo	id=g:6792405
Desa Pasusukan	id=g:6792406
Desa Candirejo	id=g:6792407
Desa Jlamprang	id=g:6792408
Desa Wonosari	id=g:6792409
Desa Kalirejo	id=g:6792410
Desa Kranggan	id=g:6792411
Desa Tanjungsari	id=g:6792412
Desa Tersono	id=g:6792413
Desa Rejosari	id=g:6792414
Desa Boja	id=g:6792415
Desa Plosowangi	id=g:6792416
Desa Wanar	id=g:6792417
Desa Sidalang	id=g:6792418
Desa Sumurbanger	id=g:6792419
Desa Tirtomulyo	id=g:6792420
Desa Sangubanyu	id=g:6792421
Desa Tlogopayung	id=g:6792422
Desa Kebumen	id=g:6792423
Desa Harjowinangun	id=g:6792424
Desa Pujut	id=g:6792425
Desa Bendosari	id=g:6792426
Desa Wadas	id=g:6792427
Desa Margosono	id=g:6792428
Desa Jati	id=g:6792429
Desa Karanganyar	id=g:6792430
Desa Jurangagung	id=g:6792431
Desa Harjodowo	id=g:6792432
Karangtengah	id=g:6792433
Kebanyon	id=g:6792434
Kedawung	id=g:6792435
Sungai Gluluk	id=g:6792436
Gemelem	id=g:6792437
Rejosari	id=g:6792438
Wonoboyo	id=g:6792439
Derman	id=g:6792440
Blimbing	id=g:6792441
Gumawang	id=g:6792442
Sangendonorejo	id=g:6792443
Wonodadi	id=g:6792444
Mraji	id=g:6792445
Tabelan	id=g:6792446
Randubowo	id=g:6792447
