Legong Keraton Beach Resort Hot	id=g:6519891
Swiss Belhotel Bay View	id=g:6519913
Taman Rosani Resort	id=g:6519988
Melasti Beach Resort   Spa	id=g:6520082
Mentari Sanur Hotel	id=g:6520128
Somerset Grand Citra Jakarta	id=g:6520135
Hotel Bali Kembali	id=g:6520191
Ascott Jakarta	id=g:6520270
Candi Beach Cottage	id=g:6520277
Hotel Barong	id=g:6520308
Alu Bali	id=g:6520315
Adirama Beach Hotel	id=g:6520318
Alam Sari  Keliki	id=g:6520409
Puri Dewa Bharata	id=g:6520458
Balisani Padma	id=g:6520459
Adi Dharma Hotel	id=g:6520496
Kunja Hotel	id=g:6520545
Grand Balisani Suites	id=g:6520601
The Hill Villas	id=g:6520665
Palm Beach Hotel	id=g:6520673
Swastika Bungalows	id=g:6520699
Dhyana Pura Beach Resort	id=g:6520709
Villa Sehati	id=g:6520721
Villa Elang	id=g:6520874
Grand Istana Rama Hotel	id=g:6520923
Adhi Jaya Hotel	id=g:6520924
Royal Pita Maha	id=g:6520942
Pertiwi Resort   Spa	id=g:6520964
Villa Air Bali	id=g:6520990
The Villas Bali Hotel And Spa	id=g:6521009
Labha Villas	id=g:6521010
Sari Sanur Resort	id=g:6521043
Akhyati Villas   Spa	id=g:6521056
Athena Garden Villa	id=g:6521061
Komaneka Tanggayuda	id=g:6521201
Agga Citta	id=g:6521210
Sri Phala Resort And Villa	id=g:6521221
The Losari	id=g:6521311
Nathan Hotel	id=g:6521322
Kuta Lagoon Resort And Pool Vil	id=g:6521337
D Alang Alang	id=g:6521342
Jamahal Private Resort   Spa	id=g:6521441
Taman Ayu Cottage	id=g:6521524
Hotel Shanti Palace	id=g:6521538
Desamuda Village	id=g:6521544
Casa Padma Suites Bali	id=g:6521545
Villa De Daun	id=g:6521555
Heliconia Villa	id=g:6521564
Aneka Beach Hotel	id=g:6521582
The Ubud Village Resort   Spa	id=g:6521861
Villa Ixora Resort	id=g:6522247
The Viceroy Bali	id=g:6522764
Bhanuswari Resort   Spa	id=g:6522821
Lor In Villa Resort	id=g:6523444
Candi Beach Cottage	id=g:6523540
Elysian Hotel	id=g:6523620
Diwangkara Holiday Villa Bali	id=g:6523632
Como Shambhala Estate At Begawa	id=g:6523784
The Banjar Villas   Spa	id=g:6523852
Downtown Villas	id=g:6523860
Aston Inn Tuban	id=g:6524004
Cocos Villa	id=g:6524131
Dyana Villas	id=g:6524132
Agung Raka Bungalows	id=g:6524270
Amarta Bali Villa	id=g:6524473
The Amasya Villas	id=g:6524503
Griya Santrian	id=g:6524520
Taman Wana Villas   Spa	id=g:6524545
Puri Mesari	id=g:6524812
Sienna Villas	id=g:6524862
Villa Uma Sapna	id=g:6524941
Jimbaran Puri Bali	id=g:6525150
Putu Bali Villa And Spa	id=g:6525436
Tugu Hotel  Villa    Exotic Spa	id=g:6525472
The Chez Bali Villa	id=g:6525886
Ayodya Resort Bali	id=g:6526008
Karma Jimbaran	id=g:6527227
Villa Sonia	id=g:6527547
Waka Shorea Resort	id=g:6527932
Waka Nusa	id=g:6528297
Nihiwatu Island Resort	id=g:6528534
Hotel Raddin Ancol	id=g:6528863
Parigata Resort   Villas	id=g:6529067
Mercure Convention Ctr Ancol	id=g:6529082
Kamandalu Resort And Spa	id=g:6529125
Legian Beach Hotel	id=g:6529185
The Bale	id=g:6529451
Villa Diamondstar Hill	id=g:6529571
Sekar Nusa Resort	id=g:6531760
Jw Marriott Surabaya	id=g:6532602
Mercure  Kuta Bali	id=g:6532950
Kotamadya Bandung	id=g:6559695
Pucangsari	id=g:6560072
Kecamatan Jatiyoso	id=g:6560073
Desa Dawung	id=g:6560074
Desa Matesih	id=g:6560075
Desa Plosorejo	id=g:6560076
Desa Sringin	id=g:6560077
Supan	id=g:6560078
Desa Gemantar	id=g:6560079
Desa Tunggulrejo	id=g:6560080
Desa Koripan	id=g:6560081
Desa Karangbangun	id=g:6560082
Desa Pablengan	id=g:6560083
Desa Gerdu	id=g:6560084
Desa Salam	id=g:6560085
Desa Karang	id=g:6560086
Desa Girilayu	id=g:6560087
Desa Karanglo	id=g:6560088
Desa Plumbon	id=g:6560089
Desa Nglebak	id=g:6560090
Desa Sepanjang	id=g:6560091
Desa Bandardawung	id=g:6560092
Desa Wukirsawit	id=g:6560093
Desa Karangsari	id=g:6560094
Desa Jumantoro	id=g:6560095
Desa Giriwondo	id=g:6560096
Desa Kedawung	id=g:6560097
Mongsari	id=g:6560098
Losari	id=g:6560099
Jetis	id=g:6560100
Desa Jatikuwung	id=g:6560101
Desa Kadipiro	id=g:6560102
Desa Jatiroyo	id=g:6560103
Desa Jatiharjo	id=g:6560104
Desa Jatipuro	id=g:6560105
Desa Jatisawit	id=g:6560106
Desa Tlobo	id=g:6560107
Desa Jatiyoso	id=g:6560108
Desa Wonokeling	id=g:6560109
Desa Petung	id=g:6560110
Kwasuwan	id=g:6560111
Toyo	id=g:6560112
Singit	id=g:6560113
Pengkol	id=g:6560114
Sapitan	id=g:6560115
Kedungunut	id=g:6560116
Ngledok	id=g:6560117
Ngablak	id=g:6560118
Truneng	id=g:6560119
Tiloso	id=g:6560120
Bukit Argotiloso	id=g:6560121
Bukit Mondoroko	id=g:6560122
Wonokeso	id=g:6560123
Tomosiyo	id=g:6560124
Tegalsari	id=g:6560125
Gondangrejo	id=g:6560126
Puntukringin	id=g:6560127
Kalongan	id=g:6560128
Ngemplak	id=g:6560129
Bulu	id=g:6560130
Gedangan	id=g:6560131
Salam	id=g:6560132
Tunggulrejo	id=g:6560133
Ngelo	id=g:6560134
Setup	id=g:6560135
Telap	id=g:6560136
Brojol	id=g:6560137
Ngadioro	id=g:6560138
Tagung	id=g:6560139
Kabupaten Karanganyar	id=g:6560140
Pringapus	id=g:6560141
Duren	id=g:6560142
Gero	id=g:6560143
Gunung Purung	id=g:6560144
Dempul	id=g:6560145
Muruhan	id=g:6560146
Mroto	id=g:6560147
Jamangati	id=g:6560148
Karang Kulon	id=g:6560149
Cempo	id=g:6560150
Gerdu	id=g:6560151
Popongan	id=g:6560152
Milir	id=g:6560153
Pagerwukir	id=g:6560154
Ngledok	id=g:6560155
Sidorejo	id=g:6560156
Wonorejo	id=g:6560157
Palang	id=g:6560158
Karangrejo	id=g:6560159
Kramen	id=g:6560160
Nongkosawit	id=g:6560161
Tawangrejo	id=g:6560162
Jatirejo	id=g:6560163
Karangtengah	id=g:6560164
Kentangan	id=g:6560165
Salaman	id=g:6560166
Tegalrejo	id=g:6560167
Kali Lebet	id=g:6560168
Sidodadi	id=g:6560169
Jloko Wetan	id=g:6560170
Kedungdowo	id=g:6560171
Pulerejo	id=g:6560172
Gondangrejo	id=g:6560173
Jloko Kulon	id=g:6560174
Dam Kedungnunut	id=g:6560175
Bangeran	id=g:6560176
Klangon Wetan	id=g:6560177
Dukuh	id=g:6560178
Dani	id=g:6560179
Gagan	id=g:6560180
Gantiwarno	id=g:6560181
Kulon	id=g:6560182
Bondorejo	id=g:6560183
Karangjati	id=g:6560184
Ceporan	id=g:6560185
Jenggotan	id=g:6560186
Karangtik	id=g:6560187
Dungbang Wetan	id=g:6560188
Klangon Kulon	id=g:6560189
Bonmiri	id=g:6560190
Ringinrangkang	id=g:6560191
Plosorejo	id=g:6560192
Ploso Lor	id=g:6560193
Ngwaru	id=g:6560194
Karangsono	id=g:6560195
Gandu	id=g:6560196
Jloko Tengah	id=g:6560197
Cangkring	id=g:6560198
Banaran	id=g:6560199
Kauman	id=g:6560200
Kuncung	id=g:6560201
Sabrang Kulon	id=g:6560202
Sabrang Wetan	id=g:6560203
Sawahan	id=g:6560204
Jengglong	id=g:6560205
Bancak	id=g:6560206
Nglasem	id=g:6560207
Rotogondang	id=g:6560208
Tukrejo	id=g:6560209
Girilayu	id=g:6560210
Tompe	id=g:6560211
Buntung	id=g:6560212
Banjar	id=g:6560213
Ngroto	id=g:6560214
Tegalsari	id=g:6560215
Pakel	id=g:6560216
Doyosari	id=g:6560217
Kali Seklitik	id=g:6560218
Karang Wetan	id=g:6560219
Pampung	id=g:6560220
Gundolorejo	id=g:6560221
Bukit Donodini	id=g:6560222
Dukun	id=g:6560223
Plumbon	id=g:6560224
Setugu	id=g:6560225
Karangweru	id=g:6560226
Watusambang	id=g:6560227
Gude	id=g:6560228
Bukit Segemblung	id=g:6560229
Pakem	id=g:6560230
Dukuh	id=g:6560231
Bukit Margolampus	id=g:6560232
Plombokan	id=g:6560233
Sumengguh	id=g:6560234
Madang	id=g:6560235
Seberan	id=g:6560236
Merakan	id=g:6560237
Bungkus	id=g:6560238
Selorejo	id=g:6560239
Tengklik	id=g:6560240
Talun	id=g:6560241
Karangrejo	id=g:6560242
Badegan	id=g:6560243
Gondang	id=g:6560244
Panderejo	id=g:6560245
Bayanan	id=g:6560246
Jetis	id=g:6560247
Manjar	id=g:6560248
Klumpit	id=g:6560249
Sukorejo	id=g:6560250
Talesan	id=g:6560251
Ngadiluwih	id=g:6560252
Dungjangan	id=g:6560253
Nglendok	id=g:6560254
Kothang	id=g:6560255
